,ds,yhat,yhat_lower,yhat_upper,Adj Close,difference,difference_pct
1212,11/1/2019,305.329877,296.3916163,313.917906,304.642242,-0.687634974,-0.23%
1213,11/4/2019,306.1798581,296.9433399,314.3095562,305.866211,-0.313647084,-0.10%
1214,11/5/2019,306.6702948,298.7463878,315.2393075,305.527863,-1.142431758,-0.37%
1215,11/6/2019,306.9741613,298.4108815,315.4824226,305.597534,-1.376627341,-0.45%
1216,11/7/2019,307.3361362,299.7348961,315.4402907,306.672241,-0.663895225,-0.22%
1217,11/8/2019,307.5622558,299.0184351,315.6459074,307.428528,-0.133727769,-0.04%
1218,11/11/2019,308.298024,300.2947952,316.0680732,306.8414,-1.456624027,-0.47%
1219,11/12/2019,308.7535057,300.7532897,316.6940695,307.48822,-1.265285714,-0.41%
1220,11/13/2019,309.0262482,301.0265534,317.6392975,307.587738,-1.438510163,-0.47%
1221,11/14/2019,309.3620161,301.1491786,317.8314352,308.035522,-1.326494092,-0.43%
1222,11/15/2019,309.5676915,301.5621843,317.5063823,310.264587,0.696895529,0.22%
1223,11/18/2019,310.2809494,302.410783,318.7944004,310.493439,0.212489627,0.07%
1224,11/19/2019,310.741758,302.7772296,319.3243251,310.4039,-0.337857967,-0.11%
1225,11/20/2019,311.0254068,302.5581263,319.2343006,309.249542,-1.775864802,-0.57%
1226,11/21/2019,311.3767074,302.9655999,319.9344975,308.752014,-2.624693391,-0.85%
1227,11/22/2019,311.6013165,302.8625098,320.5852975,309.438629,-2.162687474,-0.70%
1228,11/25/2019,312.3762038,303.9013057,320.4979051,311.836853,-0.539350814,-0.17%
1229,11/26/2019,312.8531876,303.962055,321.0729591,312.543365,-0.309822607,-0.10%
1230,11/27/2019,313.1476374,304.2692855,321.7464079,313.936523,0.78888562,0.25%
1231,11/29/2019,313.7214836,304.918328,322.358767,312.772247,-0.949236595,-0.30%
1232,12/2/2019,314.4095445,306.013677,322.6438252,310.115326,-4.294218458,-1.38%
1233,12/3/2019,314.8303578,306.4384268,323.0615108,308.035522,-6.794835763,-2.21%
1234,12/4/2019,315.0539089,306.7184403,322.7648608,309.936188,-5.117720942,-1.65%
1235,12/5/2019,315.3230061,307.2798714,323.2852037,310.493439,-4.82956713,-1.56%
1236,12/6/2019,315.4418137,307.0280356,324.606343,313.329498,-2.112315682,-0.67%
1237,12/9/2019,315.7519075,307.0623088,323.6251141,312.34436,-3.407547475,-1.09%
1238,12/10/2019,316.0262795,308.0146428,324.4248184,311.996063,-4.030216456,-1.29%
1239,12/11/2019,316.09678,307.4881999,324.9519458,312.881714,-3.215066031,-1.03%
1240,12/12/2019,316.2088788,308.1429614,324.8149495,315.578461,-0.630417845,-0.20%
1241,12/13/2019,316.1696539,307.6205518,324.2753502,315.767517,-0.402136871,-0.13%
1242,12/16/2019,316.0309314,307.5372429,324.3790282,317.936859,1.905927559,0.60%
1243,12/17/2019,316.1748709,307.6608308,324.4524392,318.006531,1.831660096,0.58%
1244,12/18/2019,316.1297408,307.3124481,324.2809572,318.026398,1.89665721,0.60%
1245,12/19/2019,316.1438738,308.3973287,324.310957,319.329987,3.186113244,1.00%
1246,12/20/2019,316.0269227,308.0459726,324.6885335,320.730011,4.703088321,1.47%
1247,12/23/2019,315.7964189,307.3053099,323.5785937,321.220001,5.423582106,1.69%
1248,12/24/2019,315.9612099,307.4051717,324.7396059,321.230011,5.268801133,1.64%
1249,12/26/2019,316.0512261,307.5798309,324.3617661,322.940002,6.888775922,2.13%
1250,12/27/2019,316.0331491,307.4803328,324.416899,322.859985,6.826835915,2.11%
1251,12/30/2019,316.2331231,307.7981959,324.9384425,321.079987,4.846863923,1.51%
1252,12/31/2019,316.5775483,307.9472856,324.5797354,321.859985,5.282436657,1.64%
1254,1/2/2020,317.0613142,309.0812977,325.6108813,324.869995,7.808680778,2.40%
1255,1/3/2020,317.2496831,309.1596613,325.9354678,322.410004,5.160320926,1.60%
1258,1/6/2020,318.0583547,309.5940296,326.0225542,323.640015,5.58166029,1.72%
1259,1/7/2020,318.5886297,310.4113899,327.5409156,322.730011,4.141381323,1.28%
1260,1/8/2020,318.9542727,310.4750557,327.6934206,324.450012,5.495739338,1.69%
1261,1/9/2020,319.3961993,310.2980292,327.7525618,,,nan%
1262,1/10/2020,319.7162528,311.402691,327.9605234,,,nan%
1265,1/13/2020,320.7717532,312.5227655,329.4241823,,,nan%
1266,1/14/2020,321.3306743,313.3413611,329.8161575,,,nan%
1267,1/15/2020,321.6976278,313.9986929,329.9674932,,,nan%
1268,1/16/2020,322.1141984,313.6958308,330.4102204,,,nan%
1269,1/17/2020,322.3835401,314.1756658,330.2327351,,,nan%
1273,1/21/2020,323.5881513,314.8100934,332.0274403,,,nan%
1274,1/22/2020,323.816834,315.3929289,331.8622972,,,nan%
1275,1/23/2020,324.0884542,315.1595462,332.8560938,,,nan%
1276,1/24/2020,324.2103751,315.3342589,332.7454261,,,nan%
1279,1/27/2020,324.5688771,315.6223306,333.3210716,,,nan%
1280,1/28/2020,324.8846666,315.9221592,333.5760304,,,nan%
1281,1/29/2020,325.0151663,315.709569,334.5427668,,,nan%
1282,1/30/2020,325.209062,316.7115743,334.8801256,,,nan%
