Date,Open,High,Low,Close,Adj Close,Volume
2019-11-04,141.419998,141.449997,140.949997,141.139999,140.409134,162900
2019-11-05,141.320007,141.360001,140.809998,140.960007,140.230072,153200
2019-11-06,140.960007,141.059998,140.490005,140.940002,140.210175,752400
2019-11-07,141.649994,142.059998,141.240005,141.460007,140.727478,170900
2019-11-08,141.320007,141.860001,141.000000,141.830002,141.095566,101400
2019-11-11,141.229996,141.690002,141.100006,141.619995,140.886642,87700
2019-11-12,141.800003,142.320007,141.550003,141.889999,141.155243,125600
2019-11-13,141.440002,142.149994,141.300003,141.929993,141.195038,148700
2019-11-14,141.820007,142.179993,141.520004,142.179993,141.443741,161100
2019-11-15,142.830002,143.190002,142.550003,143.190002,142.448517,135100
2019-11-18,143.080002,143.449997,142.899994,143.300003,142.557953,198000
2019-11-19,143.630005,143.630005,143.000000,143.330002,142.587799,184700
2019-11-20,143.070007,143.320007,142.080002,142.839996,142.100327,257900
2019-11-21,142.940002,142.940002,142.320007,142.610001,141.871521,150200
2019-11-22,143.009995,143.029999,142.470001,142.979996,142.239594,125300
2019-11-25,143.419998,144.070007,143.419998,144.029999,143.284164,156800
2019-11-26,144.130005,144.479996,143.929993,144.380005,143.632355,188600
2019-11-27,144.699997,145.020004,144.529999,145.000000,144.249146,197800
2019-11-29,144.779999,144.880005,144.369995,144.449997,143.701981,69700
2019-12-02,144.619995,144.619995,143.009995,143.229996,142.488297,242000
2019-12-03,141.869995,142.309998,141.179993,142.289993,141.553162,212400
2019-12-04,142.860001,143.429993,142.710007,143.160004,142.418671,155700
2019-12-05,143.440002,143.440002,142.740005,143.369995,142.627579,194500
2019-12-06,144.320007,144.880005,144.320007,144.649994,143.900955,177500
2019-12-09,144.500000,144.770004,144.179993,144.179993,143.433380,148800
2019-12-10,144.190002,144.460007,143.759995,144.080002,143.333908,164000
2019-12-11,144.250000,144.550003,144.059998,144.440002,143.692047,209500
2019-12-12,144.479996,146.000000,144.300003,145.649994,144.895767,236400
2019-12-13,145.740005,146.339996,145.149994,145.669998,144.915665,292000
2019-12-16,146.580002,147.050003,146.539993,146.740005,145.980133,134300
2019-12-17,147.009995,147.080002,146.729996,146.729996,145.970184,124500
2019-12-18,146.979996,147.080002,146.740005,146.779999,146.019928,155500
2019-12-19,146.949997,147.449997,146.929993,147.449997,146.686447,168200
2019-12-20,148.059998,148.399994,147.940002,148.119995,147.352982,171800
2019-12-23,148.520004,148.520004,148.250000,148.309998,147.541992,184700
2019-12-24,147.649994,147.649994,147.380005,147.589996,147.589996,77600
2019-12-26,147.770004,148.309998,147.589996,148.309998,148.309998,101600
2019-12-27,148.699997,148.699997,148.080002,148.259995,148.259995,128800
2019-12-30,148.389999,148.389999,147.240005,147.440002,147.440002,227200
2019-12-31,147.160004,147.940002,147.000000,147.839996,147.839996,206700
2020-01-02,148.619995,149.210007,148.160004,149.210007,149.210007,194500
2020-01-03,147.570007,148.669998,147.500000,148.119995,148.119995,191800
2020-01-06,147.270004,148.729996,147.100006,148.729996,148.729996,174000
2020-01-07,148.479996,148.679993,148.130005,148.360001,148.360001,155500
2020-01-08,148.399994,149.729996,148.380005,149.100006,149.100006,194100
2020-01-09,149.940002,150.179993,149.639999,150.149994,150.149994,965300
