date,open,high,low,close,volume,ticker
2015-01-15,174.74,175.08,172.81,173.06,9293698,DIA
2015-01-16,172.57,174.97,172.12,174.67,8721910,DIA
2015-01-20,175.23,175.61,173.14,174.9,7224084,DIA
2015-01-21,174.25,175.75,173.66,175.35,6259314,DIA
2015-01-22,175.92,178.14,174.51,177.92,9565123,DIA
2015-01-23,177.71,177.82,176.39,176.41,4795306,DIA
2015-01-26,176.16,176.71,175.38,176.5,3730398,DIA
2015-01-27,173.5,174.75,172.59,173.59,11565051,DIA
2015-01-28,174.55,174.61,171.59,171.72,9673196,DIA
2015-01-29,172.16,174.07,171.06,173.9,9615220,DIA
2015-01-30,173.2,173.95,171.27,171.45,11138459,DIA
2015-02-02,171.95,173.43,170.1,173.27,9437852,DIA
2015-02-03,174.13,176.4,174.1,176.33,7543368,DIA
2015-02-04,175.8,177.57,175.78,176.53,5935850,DIA
2015-02-05,177.28,178.64,177.09,178.55,6037756,DIA
2015-02-06,178.82,179.36,177.48,178.09,7211861,DIA
2015-02-09,177.18,177.94,176.68,177.09,3723092,DIA
2015-02-10,178.17,178.75,177.14,178.51,3572674,DIA
2015-02-11,178.09,179.09,177.67,178.7,5174522,DIA
2015-02-12,179.27,179.93,179.0,179.84,3742736,DIA
2015-02-13,180.0,180.54,179.76,180.34,3998242,DIA
2015-02-17,180.06,180.7,179.71,180.57,2850861,DIA
2015-02-18,180.18,180.68,179.97,180.47,2724833,DIA
2015-02-19,179.87,180.43,179.43,180.09,2663529,DIA
2015-02-20,179.15,181.2,178.5,181.14,8914648,DIA
2015-02-23,180.71,180.92,180.32,180.92,2738564,DIA
2015-02-24,181.03,182.06,180.89,181.91,4228745,DIA
2015-02-25,181.81,182.17,181.56,181.96,2822884,DIA
2015-02-26,181.92,182.24,181.4,182.01,3045831,DIA
2015-02-27,181.93,181.94,181.15,181.19,3161318,DIA
2015-03-02,181.37,182.68,181.37,182.68,3213112,DIA
2015-03-03,182.23,182.39,181.19,181.87,2825771,DIA
2015-03-04,181.41,181.41,180.13,180.78,3820195,DIA
2015-03-05,181.25,181.45,180.71,181.17,2410673,DIA
2015-03-06,180.12,180.63,178.13,178.4,7297446,DIA
2015-03-09,178.53,180.19,178.53,179.8,3844851,DIA
2015-03-10,178.38,178.51,176.68,176.69,6070112,DIA
2015-03-11,176.98,177.29,176.23,176.35,5584619,DIA
2015-03-12,177.24,179.02,177.2,178.97,4024348,DIA
2015-03-13,178.39,178.5,176.27,177.56,6833888,DIA
2015-03-16,178.25,179.91,178.25,179.78,5550064,DIA
2015-03-17,178.79,178.97,177.86,178.5,5392939,DIA
2015-03-18,177.91,181.01,176.97,180.73,11294422,DIA
2015-03-19,180.18,180.39,179.31,179.66,6229177,DIA
2015-03-20,180.46,181.67,180.17,180.96,5999199,DIA
2015-03-23,181.05,181.75,180.84,180.85,3593884,DIA
2015-03-24,180.65,181.19,179.77,179.83,4692113,DIA
2015-03-25,179.95,180.16,176.88,176.92,8474718,DIA
2015-03-26,176.15,177.3,175.46,176.48,6604471,DIA
2015-03-27,176.33,176.97,175.97,176.81,3971821,DIA
2015-03-30,178.31,179.76,178.28,179.39,5399289,DIA
2015-03-31,178.52,179.08,177.43,177.58,4633760,DIA
2015-04-01,177.54,177.54,175.57,176.74,7440536,DIA
2015-04-02,176.7,177.91,176.43,177.33,3223638,DIA
2015-04-06,176.32,179.17,176.09,178.59,6284934,DIA
2015-04-07,178.77,179.58,178.42,178.42,6011556,DIA
2015-04-08,178.6,179.56,177.96,178.75,4738514,DIA
2015-04-09,178.66,179.63,177.98,179.4,4483753,DIA
2015-04-10,179.67,180.44,179.18,180.37,3463571,DIA
2015-04-13,180.17,180.86,179.49,179.64,3358215,DIA
2015-04-14,179.58,180.54,178.8,180.18,4811404,DIA
2015-04-15,180.83,181.38,180.45,180.88,4377762,DIA
2015-04-16,180.67,181.51,180.43,180.91,3873853,DIA
2015-04-17,179.27,179.41,177.16,177.94,8683455,DIA
2015-04-20,179.31,180.61,179.15,180.03,5355793,DIA
2015-04-21,180.7,180.88,178.97,179.26,3596594,DIA
2015-04-22,179.65,180.25,178.55,180.06,5575238,DIA
2015-04-23,179.44,181.07,179.2,180.37,4893032,DIA
2015-04-24,180.5,180.82,179.79,180.54,4009959,DIA
2015-04-27,181.46,181.54,179.96,180.17,4969123,DIA
2015-04-28,180.36,180.94,178.88,180.84,4534159,DIA
