date,open,high,low,close,volume,ticker
2015-01-15,105.79,106.09,102.43,102.57,5412954,IBB
2015-01-16,102.51,105.99,102.5,105.94,5792136,IBB
2015-01-20,106.76,107.94,104.94,107.74,5039067,IBB
2015-01-21,107.13,107.77,105.85,106.16,4413960,IBB
2015-01-22,106.63,107.01,103.71,106.99,4982826,IBB
2015-01-23,106.83,107.66,106.41,107.47,2269461,IBB
2015-01-26,107.71,109.44,107.05,109.33,3930897,IBB
2015-01-27,107.87,109.73,107.87,108.66,4299216,IBB
2015-01-28,109.27,109.52,106.2,106.33,4238997,IBB
2015-01-29,106.63,107.67,104.91,107.62,3568401,IBB
2015-01-30,107.98,109.72,107.02,107.22,5065665,IBB
2015-02-02,107.88,108.15,105.13,106.53,5683026,IBB
2015-02-03,106.94,107.33,103.38,105.93,9231135,IBB
2015-02-04,103.38,104.89,101.67,104.18,9524778,IBB
2015-02-05,104.9,106.83,104.56,106.64,2820981,IBB
2015-02-06,106.64,107.61,104.93,105.2,3095613,IBB
2015-02-09,104.73,105.82,104.36,104.47,3246399,IBB
2015-02-10,105.48,106.42,104.81,106.09,2542965,IBB
2015-02-11,106.06,107.5,105.15,105.75,3672360,IBB
2015-02-12,106.66,106.86,105.26,106.81,2194653,IBB
2015-02-13,107.3,107.85,106.04,107.82,2461719,IBB
2015-02-17,107.73,109.08,107.58,108.94,2646315,IBB
2015-02-18,108.94,109.81,108.19,109.81,2783271,IBB
2015-02-19,109.5,110.88,109.5,110.66,2758548,IBB
2015-02-20,110.52,112.14,110.41,112.14,2802546,IBB
2015-02-23,112.61,113.82,112.15,112.67,4568958,IBB
2015-02-24,112.88,112.94,110.96,111.72,4664262,IBB
2015-02-25,111.79,113.83,110.67,113.15,5595342,IBB
2015-02-26,112.92,113.64,111.69,113.6,3985938,IBB
2015-02-27,113.21,113.65,112.07,112.49,4445631,IBB
2015-03-02,112.41,113.41,112.38,113.25,3087579,IBB
2015-03-03,113.22,113.25,111.32,112.64,5032635,IBB
2015-03-04,112.18,113.98,111.33,113.36,3923640,IBB
2015-03-05,114.76,116.33,114.59,115.89,4975635,IBB
2015-03-06,115.41,115.67,113.85,114.12,4872081,IBB
2015-03-09,114.17,114.48,112.95,114.29,3171762,IBB
2015-03-10,113.16,115.22,112.47,113.81,5323311,IBB
2015-03-11,114.26,114.69,113.22,114.18,3143379,IBB
2015-03-12,114.75,115.02,113.7,114.94,2447460,IBB
2015-03-13,114.87,116.44,114.09,115.11,3033132,IBB
2015-03-16,115.92,117.99,115.84,117.99,5038050,IBB
