date,open,high,low,close,volume,ticker
2015-01-15,121.53,122.27,121.45,122.08,2171301,LQD
2015-01-16,121.71,121.91,121.23,121.4,1322527,LQD
2015-01-20,121.71,122.06,121.63,121.68,1648855,LQD
2015-01-21,122.08,122.11,121.32,121.63,1878023,LQD
2015-01-22,121.88,121.96,121.25,121.57,1938417,LQD
2015-01-23,122.09,122.41,122.04,122.28,1436305,LQD
2015-01-26,122.35,122.47,122.0,122.25,2347946,LQD
2015-01-27,122.68,122.83,122.2,122.34,1267989,LQD
2015-01-28,122.39,123.34,122.37,123.17,1367864,LQD
2015-01-29,122.86,123.03,122.69,122.88,1674479,LQD
2015-01-30,123.55,123.9,123.43,123.89,3498998,LQD
2015-02-02,123.24,123.72,123.05,123.67,5684673,LQD
2015-02-03,123.06,123.19,122.52,122.67,2828466,LQD
2015-02-04,122.26,122.87,122.19,122.84,3209548,LQD
2015-02-05,122.59,122.69,122.36,122.45,1789268,LQD
2015-02-06,121.96,122.09,121.14,121.17,2578364,LQD
2015-02-09,121.56,121.62,121.11,121.25,2426877,LQD
2015-02-10,121.23,121.3,120.89,120.92,2580281,LQD
2015-02-11,121.03,121.05,120.64,121.0,2239640,LQD
2015-02-12,121.0,121.44,120.9,121.31,4045565,LQD
2015-02-13,121.29,121.36,120.82,120.83,2068673,LQD
2015-02-17,120.66,120.78,120.06,120.27,2970343,LQD
2015-02-18,120.34,121.0,120.21,120.7,3221894,LQD
2015-02-19,120.64,121.08,120.54,120.68,2765526,LQD
2015-02-20,121.02,121.32,120.47,120.86,1621148,LQD
2015-02-23,121.15,121.28,121.06,121.27,2191411,LQD
2015-02-24,121.06,122.1,120.8,122.06,1891701,LQD
2015-02-25,121.92,122.2,121.74,122.17,2024493,LQD
2015-02-26,122.0,122.15,121.44,121.51,1192207,LQD
2015-02-27,121.54,121.86,121.31,121.8,2892759,LQD
2015-03-02,121.36,121.36,120.4,120.42,4540652,LQD
2015-03-03,120.5,120.77,120.34,120.35,4737641,LQD
2015-03-04,120.66,120.67,120.2,120.27,2703203,LQD
2015-03-05,120.5,120.58,120.13,120.43,1307564,LQD
2015-03-06,119.7,119.81,119.11,119.15,3372754,LQD
2015-03-09,119.59,119.68,119.38,119.63,6241020,LQD
2015-03-10,120.02,120.19,119.79,119.82,3356886,LQD
2015-03-11,120.07,120.44,119.88,120.43,1712158,LQD
2015-03-12,120.63,120.72,120.08,120.31,2970708,LQD
2015-03-13,120.0,120.3,119.9,119.97,1845271,LQD
2015-03-16,120.42,120.42,119.91,120.09,1588306,LQD
2015-03-17,120.1,120.37,119.88,120.29,2528762,LQD
2015-03-18,120.54,121.89,120.36,121.77,3382542,LQD
2015-03-19,121.48,121.61,121.05,121.15,2503043,LQD
2015-03-20,121.47,121.71,121.36,121.49,3669307,LQD
2015-03-23,121.57,121.83,121.55,121.77,2946620,LQD
2015-03-24,121.89,122.0,121.7,121.95,2782071,LQD
2015-03-25,122.0,122.3,121.44,121.55,3205892,LQD
2015-03-26,121.27,121.38,120.72,120.8,2681774,LQD
2015-03-27,121.18,121.54,121.03,121.28,1009707,LQD
2015-03-30,121.42,121.59,121.28,121.49,981082,LQD
2015-03-31,121.47,121.76,121.32,121.71,1688404,LQD
2015-04-01,121.7,122.17,121.61,121.73,7393542,LQD
2015-04-02,121.94,122.12,121.5,121.53,3013665,LQD
2015-04-06,122.01,122.16,121.4,121.69,3496036,LQD
2015-04-07,121.6,122.14,121.47,122.13,2613549,LQD
2015-04-08,122.13,122.13,121.7,122.09,3933548,LQD
2015-04-09,122.07,122.07,121.36,121.47,1780634,LQD
2015-04-10,121.81,121.9,121.56,121.64,1325032,LQD
2015-04-13,121.65,121.85,121.54,121.6,1710058,LQD
2015-04-14,122.05,122.31,121.85,121.88,2244959,LQD
2015-04-15,122.15,122.29,121.96,121.96,1560910,LQD
2015-04-16,122.14,122.14,121.57,121.89,1820487,LQD
2015-04-17,121.82,122.35,121.65,122.22,1625816,LQD
2015-04-20,122.19,122.35,121.84,121.93,1527236,LQD
2015-04-21,122.05,122.1,121.78,121.9,2441611,LQD
2015-04-22,121.93,121.94,121.09,121.11,2105983,LQD
2015-04-23,121.14,121.59,121.04,121.42,1962934,LQD
2015-04-24,121.61,121.83,121.51,121.65,1690178,LQD
2015-04-27,121.65,121.76,121.32,121.56,1564730,LQD
2015-04-28,121.22,121.38,120.76,120.84,1972738,LQD
2015-04-29,120.01,120.15,119.6,119.84,3087063,LQD
2015-04-30,119.66,120.01,119.17,119.94,5716033,LQD
2015-05-01,119.22,119.47,118.8,118.95,3462178,LQD
2015-05-04,119.01,119.16,118.56,118.57,2689620,LQD
2015-05-05,118.64,118.69,118.05,118.37,3307395,LQD
2015-05-06,118.3,118.3,117.68,117.86,2105914,LQD
2015-05-07,118.01,118.41,117.86,118.33,3641209,LQD
2015-05-08,119.09,119.23,118.83,119.01,5393685,LQD
2015-05-11,118.61,118.65,117.69,117.81,3882798,LQD
2015-05-12,117.45,117.98,117.2,117.64,3737167,LQD
2015-05-13,118.21,118.28,117.49,117.53,3263621,LQD
2015-05-14,117.75,118.14,117.61,117.93,3094296,LQD
2015-05-15,118.21,118.82,118.1,118.75,1856521,LQD
2015-05-18,118.31,118.48,117.75,117.84,2820490,LQD
2015-05-19,117.3,117.8,117.2,117.21,3562468,LQD
2015-05-20,117.38,117.68,117.11,117.35,2626782,LQD
2015-05-21,117.55,117.95,117.42,117.91,1606875,LQD
2015-05-22,117.82,117.85,117.51,117.83,2858489,LQD
2015-05-26,117.86,118.41,117.81,118.35,2232330,LQD
2015-05-27,118.36,118.55,118.09,118.47,2282652,LQD
2015-05-28,118.43,118.49,118.19,118.22,2900972,LQD
2015-05-29,118.5,118.57,118.13,118.27,2845829,LQD
2015-06-01,117.86,117.99,117.22,117.28,5315779,LQD
2015-06-02,116.87,116.99,116.59,116.68,7084903,LQD
2015-06-03,116.44,116.44,115.71,115.93,3307878,LQD
2015-06-04,116.12,116.67,116.12,116.53,2849105,LQD
2015-06-05,115.91,116.21,115.5,115.94,5548420,LQD
2015-06-08,116.08,116.2,115.86,115.86,2131101,LQD
2015-06-09,115.67,115.67,115.24,115.34,6152289,LQD
2015-06-10,115.18,115.28,114.93,115.03,1959587,LQD
2015-06-11,115.54,116.07,115.29,116.05,2562634,LQD
2015-06-12,115.76,116.33,115.73,115.85,2437911,LQD
2015-06-15,116.2,116.25,115.68,115.83,1827555,LQD
2015-06-16,115.96,116.12,115.66,116.12,2274076,LQD
2015-06-17,116.04,116.2,115.47,116.11,3824217,LQD
2015-06-18,115.85,116.0,115.53,115.9,1853096,LQD
2015-06-19,116.23,116.62,116.06,116.52,5114545,LQD
2015-06-22,116.09,116.25,115.54,115.6,2547713,LQD
2015-06-23,115.09,115.64,115.09,115.34,1238717,LQD
2015-06-24,115.44,115.72,115.3,115.66,2540049,LQD
2015-06-25,115.48,115.64,115.26,115.47,2567528,LQD
2015-06-26,115.02,115.13,114.73,114.94,2284970,LQD
2015-06-29,115.22,116.09,115.15,115.94,5945722,LQD
2015-06-30,115.67,116.18,115.6,115.72,2668593,LQD
2015-07-01,115.03,115.29,115.02,115.02,4088735,LQD
2015-07-02,115.3,115.66,115.28,115.46,1971044,LQD
2015-07-06,115.88,116.07,115.59,115.92,4845110,LQD
2015-07-07,116.65,116.86,116.26,116.4,3627484,LQD
2015-07-08,116.51,116.71,116.23,116.56,3490580,LQD
2015-07-09,116.16,116.2,115.72,115.79,1427753,LQD
2015-07-10,115.15,115.36,114.81,115.05,2739964,LQD
2015-07-13,114.58,115.08,114.58,114.8,3146075,LQD
2015-07-14,114.87,115.0,114.66,114.9,4364206,LQD
2015-07-15,114.86,115.37,114.77,115.2,1923775,LQD
2015-07-16,115.03,115.46,114.92,115.38,2036608,LQD
2015-07-17,115.39,115.62,115.39,115.46,2268167,LQD
2015-07-20,115.25,115.45,115.15,115.19,2805752,LQD
2015-07-21,115.01,115.48,115.0,115.43,2490852,LQD
2015-07-22,115.41,115.75,115.34,115.58,1292935,LQD
2015-07-23,115.53,116.02,115.4,115.92,2007615,LQD
2015-07-24,116.11,116.11,115.67,115.87,2704736,LQD
2015-07-27,115.93,116.18,115.81,115.88,4836741,LQD
2015-07-28,115.63,115.82,115.5,115.79,2755148,LQD
2015-07-29,115.73,115.81,115.52,115.69,1569246,LQD
2015-07-30,115.77,115.92,115.6,115.75,2157643,LQD
2015-07-31,116.11,116.41,116.1,116.35,3626937,LQD
2015-08-03,115.86,116.38,115.83,116.29,2942825,LQD
2015-08-04,115.99,116.05,115.64,115.7,3823184,LQD
2015-08-05,115.51,115.51,115.09,115.25,2991550,LQD
2015-08-06,115.38,115.59,115.33,115.47,1750789,LQD
2015-08-07,115.64,115.94,115.55,115.87,2907165,LQD
2015-08-10,115.58,115.68,115.35,115.41,1317636,LQD
2015-08-11,115.89,116.21,115.82,115.89,5011636,LQD
2015-08-12,115.89,116.26,115.65,115.71,5062244,LQD
2015-08-13,115.41,115.66,115.22,115.31,1647456,LQD
2015-08-14,115.28,115.53,115.17,115.42,1693565,LQD
2015-08-17,115.8,116.1,115.59,115.79,3313850,LQD
2015-08-18,115.52,115.64,115.28,115.35,2200891,LQD
2015-08-19,115.1,115.99,115.0,115.91,2600062,LQD
2015-08-20,115.95,116.11,115.81,115.98,1760126,LQD
2015-08-21,116.01,116.29,115.82,116.01,2971125,LQD
2015-08-24,116.5,116.59,115.63,115.69,3966025,LQD
2015-08-25,115.35,115.56,114.87,115.1,2625292,LQD
2015-08-26,114.88,115.23,114.68,115.03,3299392,LQD
2015-08-27,114.81,115.39,114.7,115.14,2957778,LQD
2015-08-28,115.71,115.76,115.27,115.35,1901248,LQD
2015-08-31,115.79,115.82,115.06,115.06,1250219,LQD
2015-09-01,115.06,115.49,114.84,115.42,3856794,LQD
2015-09-02,114.97,115.46,114.97,115.25,1824503,LQD
2015-09-03,115.57,115.94,115.42,115.8,11303035,LQD
2015-09-04,115.97,116.2,115.78,116.06,1648583,LQD
2015-09-08,115.76,115.82,115.5,115.52,1892261,LQD
2015-09-09,115.23,115.84,115.2,115.77,2079064,LQD
2015-09-10,115.57,115.65,115.36,115.54,2566526,LQD
2015-09-11,115.58,115.89,115.57,115.62,2333346,LQD
2015-09-14,115.78,115.82,115.48,115.61,1732450,LQD
2015-09-15,115.34,115.48,114.64,114.74,3090361,LQD
2015-09-16,114.81,115.05,114.76,114.95,2918310,LQD
2015-09-17,114.93,115.94,114.89,115.9,4106652,LQD
2015-09-18,116.08,116.38,116.0,116.25,4692352,LQD
2015-09-21,115.94,116.1,115.61,115.66,3209912,LQD
2015-09-22,116.05,116.35,115.94,116.16,4001036,LQD
2015-09-23,116.12,116.22,115.93,116.09,2435246,LQD
2015-09-24,116.46,116.52,116.08,116.11,2378085,LQD
2015-09-25,115.74,115.95,115.65,115.76,2858811,LQD
2015-09-28,115.84,116.16,115.7,115.96,3099364,LQD
2015-09-29,115.91,116.15,115.82,116.11,2267076,LQD
2015-09-30,115.88,116.13,115.83,116.09,4404201,LQD
2015-10-01,115.74,115.92,115.57,115.73,6459621,LQD
2015-10-02,116.35,116.49,116.02,116.24,3480090,LQD
2015-10-05,115.92,116.07,115.8,115.93,7567210,LQD
2015-10-06,115.93,116.22,115.65,116.16,3241161,LQD
2015-10-07,116.24,116.6,115.92,116.57,5884887,LQD
2015-10-08,116.57,116.57,115.98,116.11,2174952,LQD
2015-10-09,116.09,116.28,115.99,116.16,3798837,LQD
2015-10-12,116.32,116.7,116.32,116.63,860429,LQD
2015-10-13,116.61,116.64,116.24,116.54,2147227,LQD
2015-10-14,116.84,117.01,116.57,117.0,1976458,LQD
2015-10-15,116.85,116.95,116.61,116.95,4233525,LQD
2015-10-16,116.92,117.03,116.83,116.99,3055306,LQD
2015-10-19,116.94,116.99,116.64,116.98,2510741,LQD
2015-10-20,116.64,116.85,116.55,116.76,4190056,LQD
2015-10-21,117.05,117.37,117.05,117.34,2497680,LQD
2015-10-22,117.31,117.78,117.22,117.59,2396948,LQD
2015-10-23,117.35,117.41,117.16,117.16,3682767,LQD
2015-10-26,117.37,117.43,117.13,117.37,3771904,LQD
2015-10-27,117.66,117.69,117.37,117.4,2809568,LQD
2015-10-28,117.29,117.36,116.82,116.94,4693250,LQD
2015-10-29,116.61,116.63,116.0,116.12,2942093,LQD
2015-10-30,116.19,116.44,116.08,116.42,2664061,LQD
2015-11-02,115.8,115.88,115.56,115.59,6241680,LQD
2015-11-03,115.6,115.71,115.43,115.6,2672572,LQD
2015-11-04,115.63,115.79,115.45,115.47,4176426,LQD
2015-11-05,115.56,115.72,115.23,115.5,3743050,LQD
2015-11-06,114.83,114.88,114.64,114.75,4306180,LQD
2015-11-09,114.54,114.81,114.43,114.56,3253227,LQD
2015-11-10,114.7,115.06,114.57,114.85,2228785,LQD
2015-11-11,114.8,114.9,114.73,114.84,910944,LQD
2015-11-12,114.75,115.2,114.74,114.8,3102694,LQD
2015-11-13,115.09,115.19,114.98,115.14,2618880,LQD
2015-11-16,115.21,115.3,115.02,115.16,2558367,LQD
2015-11-17,114.95,115.5,114.86,115.28,3857607,LQD
2015-11-18,115.2,115.41,115.07,115.31,1713321,LQD
2015-11-19,115.47,115.77,115.44,115.65,2890523,LQD
2015-11-20,115.63,115.76,115.48,115.63,2344943,LQD
2015-11-23,115.54,115.75,115.47,115.67,1948080,LQD
2015-11-24,115.64,115.82,115.58,115.71,1659536,LQD
2015-11-25,115.75,115.91,115.68,115.82,609611,LQD
2015-11-27,115.91,116.0,115.86,115.86,409217,LQD
2015-11-30,115.85,115.95,115.8,115.91,4924958,LQD
2015-12-01,115.64,116.47,115.56,116.45,5961724,LQD
2015-12-02,116.21,116.33,116.05,116.17,6138352,LQD
2015-12-03,115.58,115.69,114.56,114.63,4515427,LQD
2015-12-04,114.79,115.28,114.79,115.25,3120511,LQD
2015-12-07,115.22,115.83,115.19,115.45,3095706,LQD
2015-12-08,115.6,115.61,115.22,115.3,3754089,LQD
2015-12-09,115.17,115.42,114.93,115.27,3394504,LQD
2015-12-10,115.29,115.47,115.0,115.0,4722806,LQD
2015-12-11,115.28,115.41,114.81,115.2,7949583,LQD
2015-12-14,114.85,115.0,114.18,114.35,6442848,LQD
2015-12-15,114.07,114.63,113.94,114.36,3822614,LQD
2015-12-16,114.31,114.63,113.7,114.34,2540852,LQD
2015-12-17,114.66,114.74,114.34,114.47,2327862,LQD
2015-12-18,114.52,114.76,114.43,114.47,2566216,LQD
2015-12-21,114.76,114.9,114.46,114.55,3025954,LQD
2015-12-22,114.43,114.59,114.29,114.4,2204880,LQD
