,ds,yhat,yhat_lower,yhat_upper,Adj Close,difference,difference_pct
1208,2019-11-01,108.13401887718632,107.64755421783458,108.70402317190292,107.813065,-0.3209538771863265,-0.30%
1209,2019-11-04,108.07053084686137,107.52013434423928,108.58915317189705,107.793121,-0.2774098468613744,-0.26%
1210,2019-11-05,108.0556411069686,107.52032980325284,108.59869275706653,107.50393700000001,-0.551704106968586,-0.51%
1211,2019-11-06,108.04491981621563,107.54344941306205,108.57499690549402,107.623604,-0.42131581621562475,-0.39%
1212,2019-11-07,108.03712525626793,107.5105657722223,108.52667313312575,107.414207,-0.6229182562679227,-0.58%
1213,2019-11-08,108.03281667824265,107.50236058212828,108.56872571370725,107.50393700000001,-0.5288796782426459,-0.49%
1214,2019-11-11,107.97192302772868,107.48611901129551,108.48499900718537,107.52388799999999,-0.4480350277286931,-0.42%
1215,2019-11-12,107.9616551646059,107.43882361528667,108.46804311660193,107.583717,-0.3779381646059079,-0.35%
1216,2019-11-13,107.95729277539061,107.47152080815538,108.49747173872579,107.59368899999998,-0.3636037753906294,-0.34%
1217,2019-11-14,107.95743745045772,107.46011197376775,108.45786277594718,107.753227,-0.20421045045772246,-0.19%
1218,2019-11-15,107.96244846948379,107.46068434012707,108.47221364824468,107.76320600000001,-0.199242469483778,-0.18%
1219,2019-11-18,107.9352595857896,107.39332307777906,108.43257450114207,107.813065,-0.1221945857896003,-0.11%
1220,2019-11-19,107.93716514507724,107.41575948360874,108.47482765538675,107.723312,-0.21385314507723763,-0.20%
1221,2019-11-20,107.94491883429734,107.44823574760483,108.47850361335198,107.833008,-0.1119108342973334,-0.10%
1222,2019-11-21,107.95680143131813,107.46017987456636,108.46544362524324,107.793121,-0.16368043131812726,-0.15%
1223,2019-11-22,107.97286065849768,107.46347659348264,108.49885642753712,107.793121,-0.17973965849768092,-0.17%
1224,2019-11-25,107.97188364781361,107.46389251909464,108.50072028599239,107.842979,-0.12890464781361288,-0.12%
1225,2019-11-26,107.97944689946041,107.4398939507854,108.48017256725474,107.89283799999998,-0.08660889946042971,-0.08%
1226,2019-11-27,107.99103956003022,107.4492188767849,108.51995621389658,107.783142,-0.20789756003021864,-0.19%
1227,2019-11-29,108.02088704179619,107.51704304649301,108.57381167944884,107.833008,-0.18787904179617954,-0.17%
1228,2019-12-02,108.0086175630911,107.48249441675348,108.51091999592587,107.79402900000001,-0.21458856309108398,-0.20%
1229,2019-12-03,108.00910704939214,107.48945643467461,108.52136275227029,108.02391100000001,0.01480395060787032,0.01%
1230,2019-12-04,108.01231522651254,107.48707888791319,108.50675756699464,107.834007,-0.17830822651254152,-0.17%
1231,2019-12-05,108.0167028537719,107.47050656698285,108.55462506646245,107.804024,-0.2126788537719051,-0.20%
1232,2019-12-06,108.0225873226659,107.49608990308549,108.56200976367165,107.863991,-0.1585963226659004,-0.15%
1233,2019-12-09,107.97889740788135,107.42016657369783,108.48585602859359,107.824013,-0.1548844078813545,-0.14%
1234,2019-12-10,107.96978291128474,107.43749297136213,108.47417883581863,107.78402700000001,-0.1857559112847298,-0.17%
