,ds,yhat,yhat_lower,yhat_upper,Adj Close,difference,difference_pct
1208,2019-11-01,101.66506995293746,101.5670941835849,101.76558985680774,101.210945,-0.45412495293746247,-0.45%
1209,2019-11-04,101.6636450798785,101.56241905380755,101.75992186523945,101.200981,-0.46266407987850755,-0.46%
1210,2019-11-05,101.66401752677687,101.5659540282797,101.75941754301857,101.191025,-0.47299252677687775,-0.47%
1211,2019-11-06,101.6655043759879,101.55863813183815,101.76023050068257,101.210945,-0.4545593759878983,-0.45%
1212,2019-11-07,101.668730209725,101.5695380176761,101.77108675156425,101.210945,-0.45778520972500303,-0.45%
1213,2019-11-08,101.66899973077506,101.57260076497867,101.76459869382327,101.200981,-0.4680187307750572,-0.46%
1214,2019-11-11,101.66885705535961,101.56635801560984,101.77042573734357,101.200981,-0.46787605535961063,-0.46%
1215,2019-11-12,101.66979811283836,101.57223300913715,101.76890985556696,101.191025,-0.4787731128383683,-0.47%
1216,2019-11-13,101.6718832313022,101.57328217275236,101.77280093439241,101.210945,-0.4609382313022081,-0.46%
1217,2019-11-14,101.67570971570734,101.57389204844968,101.7739247096694,101.250786,-0.42492371570733667,-0.42%
1218,2019-11-15,101.67655417439977,101.57423407150279,101.7742848781791,101.270721,-0.40583317439977407,-0.40%
1219,2019-11-18,101.67770440122823,101.57230087508435,101.77278756037671,101.290642,-0.38706240122822066,-0.38%
1220,2019-11-19,101.67884613844504,101.58028900045801,101.77428411561813,101.300606,-0.3782401384450367,-0.37%
1221,2019-11-20,101.6809791699696,101.57937546476997,101.77549288424429,101.320518,-0.36046116996959654,-0.36%
1222,2019-11-21,101.68468285966469,101.58648647492669,101.78045414222079,101.340446,-0.3442368596646901,-0.34%
1223,2019-11-22,101.68521970702513,101.58646508073063,101.78315757776423,101.35041,-0.3348097070251299,-0.33%
1224,2019-11-25,101.68426265706702,101.58275687295728,101.78566702877981,101.340446,-0.34381665706702336,-0.34%
1225,2019-11-26,101.68430555849648,101.58946549970864,101.79045938255884,101.360374,-0.3239315584964828,-0.32%
1226,2019-11-27,101.68515290794161,101.58384651154546,101.78423513451541,101.35041,-0.3347429079416173,-0.33%
1227,2019-11-29,101.6863221641309,101.584520220671,101.78619388626628,101.370338,-0.3159841641308958,-0.31%
1228,2019-12-02,101.6798475877335,101.5718377004873,101.7683525613306,101.380318,-0.29952958773350247,-0.30%
1229,2019-12-03,101.67792402653363,101.57430400539444,101.7689790981922,101.400276,-0.2776480265336261,-0.27%
