date,open,high,low,close,volume,ticker
2015-01-15,201.63,202.01,198.88,199.02,176613906,SPY
2015-01-16,198.77,201.82,198.55,201.63,211879605,SPY
2015-01-20,202.4,202.72,200.17,202.06,130991069,SPY
2015-01-21,201.5,203.66,200.94,203.08,122942707,SPY
2015-01-22,203.99,206.26,202.33,206.1,174356029,SPY
2015-01-23,205.79,206.1,204.81,204.97,117516753,SPY
2015-01-26,204.71,205.56,203.85,205.45,92009711,SPY
2015-01-27,202.97,204.12,201.74,202.74,134044598,SPY
2015-01-28,204.17,204.29,199.91,200.14,168514312,SPY
2015-01-29,200.38,202.3,198.68,201.99,173585424,SPY
2015-01-30,200.57,202.17,199.13,199.45,197729724,SPY
2015-02-02,200.05,202.03,197.86,201.92,163106969,SPY
2015-02-03,203.0,204.85,202.55,204.84,124212881,SPY
2015-02-04,203.92,205.38,203.51,204.06,134306728,SPY
2015-02-05,204.86,206.3,204.77,206.12,97953181,SPY
2015-02-06,206.56,207.24,204.92,205.55,125672026,SPY
2015-02-09,204.77,205.64,204.14,204.63,87219016,SPY
2015-02-10,205.88,207.12,204.68,206.81,96164183,SPY
2015-02-11,206.61,207.45,205.83,206.93,91087785,SPY
2015-02-12,207.89,208.99,206.97,208.92,97545949,SPY
2015-02-13,209.07,209.84,208.76,209.78,93670430,SPY
2015-02-17,209.4,210.32,209.1,210.11,76968199,SPY
2015-02-18,209.66,210.22,209.34,210.13,80652941,SPY
2015-02-19,209.41,210.42,209.24,209.98,91462491,SPY
2015-02-20,209.48,211.33,208.73,211.24,140896392,SPY
2015-02-23,210.94,211.21,210.48,211.21,74411054,SPY
2015-02-24,211.12,212.05,210.76,211.81,72472263,SPY
2015-02-25,211.66,212.24,211.22,211.63,73061687,SPY
2015-02-26,211.52,211.71,210.65,211.38,72697868,SPY
2015-02-27,211.26,211.58,210.6,210.66,108075972,SPY
2015-03-02,210.78,212.06,210.72,211.99,87491428,SPY
2015-03-03,211.47,212.05,210.08,211.12,110325809,SPY
2015-03-04,210.4,210.49,209.06,210.23,114497192,SPY
2015-03-05,210.62,210.8,209.85,210.46,76872957,SPY
2015-03-06,209.42,209.94,207.1,207.5,188127982,SPY
2015-03-09,207.74,208.79,207.55,208.36,89818893,SPY
2015-03-10,206.71,206.81,204.93,204.98,157121263,SPY
2015-03-11,205.29,205.5,204.4,204.5,110145718,SPY
2015-03-12,205.26,207.18,205.2,207.1,93993523,SPY
2015-03-13,206.77,207.93,204.58,205.83,162410893,SPY
2015-03-16,206.71,208.69,205.86,208.58,136099192,SPY
2015-03-17,207.69,208.42,206.98,207.96,94510422,SPY
2015-03-18,207.39,211.27,206.62,210.46,228808524,SPY
2015-03-19,209.96,210.47,209.03,209.5,117917302,SPY
2015-03-20,209.71,211.02,209.49,210.41,177715081,SPY
2015-03-23,210.42,211.11,210.0,210.0,71784536,SPY
2015-03-24,209.85,210.4,208.74,208.82,77805321,SPY
2015-03-25,209.07,209.35,205.71,205.76,159521708,SPY
2015-03-26,204.96,206.37,204.12,205.27,153067241,SPY
2015-03-27,205.13,205.95,204.9,205.74,118938966,SPY
2015-03-30,206.98,208.61,206.96,208.25,96180365,SPY
2015-03-31,207.26,208.1,206.36,206.43,126768703,SPY
2015-04-01,206.39,206.42,204.51,205.7,137303584,SPY
2015-04-02,205.62,206.98,205.4,206.44,86900906,SPY
2015-04-06,205.37,208.45,205.21,207.83,114368155,SPY
2015-04-07,207.86,208.76,207.24,207.28,81236337,SPY
2015-04-08,207.55,208.51,207.08,207.98,89351939,SPY
2015-04-09,207.78,209.18,207.19,208.9,85548854,SPY
2015-04-10,209.2,210.09,208.96,210.04,72722915,SPY
2015-04-13,209.87,210.63,209.03,209.09,74436594,SPY
2015-04-14,208.85,209.71,208.1,209.49,75099866,SPY
2015-04-15,210.05,211.04,209.95,210.43,99529320,SPY
2015-04-16,210.03,210.98,209.79,210.37,68934864,SPY
2015-04-17,208.94,209.23,207.01,207.95,191113230,SPY
2015-04-20,209.06,210.25,208.96,209.85,92189481,SPY
2015-04-21,210.67,210.86,209.24,209.6,72559831,SPY
2015-04-22,210.01,210.85,208.9,210.63,78264616,SPY
2015-04-23,210.15,211.94,210.01,211.16,102585942,SPY
2015-04-24,211.66,211.97,211.11,211.65,61327387,SPY
2015-04-27,212.33,212.48,210.54,210.77,79358126,SPY
2015-04-28,210.74,211.5,209.33,211.44,86863531,SPY
2015-04-29,210.37,211.29,209.6,210.57,125684903,SPY
2015-04-30,209.88,210.35,207.62,208.46,161304890,SPY
2015-05-01,209.4,210.77,209.28,210.72,103399711,SPY
2015-05-04,211.23,212.02,211.1,211.32,70927235,SPY
2015-05-05,211.03,211.46,208.73,208.9,113326156,SPY
2015-05-06,209.56,209.93,206.76,208.04,135060151,SPY
2015-05-07,207.92,209.38,207.52,208.87,88244940,SPY
2015-05-08,210.88,211.86,210.78,211.62,155877260,SPY
2015-05-11,211.57,211.89,210.52,210.61,75708065,SPY
2015-05-12,209.61,210.63,208.62,209.98,119727592,SPY
2015-05-13,210.47,211.22,209.74,210.02,94667943,SPY
2015-05-14,211.24,212.32,210.91,212.21,95934006,SPY
2015-05-15,212.44,212.61,211.86,212.44,76510099,SPY
2015-05-18,212.24,213.4,212.16,213.1,74549685,SPY
2015-05-19,213.24,213.57,212.69,213.03,72114610,SPY
2015-05-20,213.15,213.78,212.5,212.88,76857530,SPY
2015-05-21,212.71,213.75,212.51,213.5,64764585,SPY
2015-05-22,213.04,213.54,212.91,212.99,57433495,SPY
2015-05-26,212.4,212.91,210.2,210.7,124308584,SPY
2015-05-27,211.25,212.98,210.76,212.7,93213981,SPY
2015-05-28,212.33,212.59,211.63,212.46,74974560,SPY
2015-05-29,212.38,212.43,210.82,211.14,124919611,SPY
2015-06-01,211.94,212.34,210.62,211.57,93338750,SPY
2015-06-02,211.02,212.19,210.27,211.36,91531012,SPY
