,ds,yhat,yhat_lower,yhat_upper,Adj Close,difference,difference_pct
1211,2019-11-01,140.1580395369365,136.35795641989802,144.24165922660876,,,nan%
1212,2019-11-04,140.540532189776,136.59131968773505,144.7575203534244,140.409134,-0.13139818977600726,-0.09%
1213,2019-11-05,140.76050811780573,136.6067534919011,144.9536280977231,140.230072,-0.5304361178057206,-0.38%
1214,2019-11-06,140.8895674906935,136.81000160059799,144.4271626129779,140.210175,-0.679392490693516,-0.48%
1215,2019-11-07,141.04304439129942,137.3017150382181,144.54464281380868,140.727478,-0.3155663912994271,-0.22%
1216,2019-11-08,141.17436010864347,137.44332199460692,145.10334493577767,141.095566,-0.07879410864347847,-0.06%
1217,2019-11-11,141.50245115607993,137.31425267969763,145.35476337278322,140.886642,-0.6158091560799335,-0.44%
1218,2019-11-12,141.7051238130583,137.80937146940306,145.3510915317126,141.15524299999998,-0.5498808130583086,-0.39%
1219,2019-11-13,141.81842152273248,137.76373943841057,145.77808701676167,141.19503799999998,-0.623383522732496,-0.44%
1220,2019-11-14,141.95823700217852,138.0877323010801,145.5968215471817,141.443741,-0.5144960021785323,-0.36%
1221,2019-11-15,142.07844498118098,138.26649256094785,146.42002970986186,142.44851699999998,0.37007201881900187,0.26%
1222,2019-11-18,142.391186609225,138.41717429115124,146.288885834872,142.557953,0.16676639077499544,0.12%
1223,2019-11-19,142.59492311043945,138.9226620470508,146.6498084551226,142.587799,-0.007124110439463038,-0.00%
1224,2019-11-20,142.71210753835146,138.85468071282074,146.68537938412226,142.100327,-0.6117805383514678,-0.43%
1225,2019-11-21,142.85825880928115,138.94004186030668,146.95023170952976,141.871521,-0.9867378092811521,-0.70%
1226,2019-11-22,142.9867463138335,138.9473729852129,146.73596491100824,142.23959399999998,-0.7471523138335101,-0.53%
1227,2019-11-25,143.32927155465674,139.68080690580084,147.4098978901936,143.28416399999998,-0.045107554656766524,-0.03%
1228,2019-11-26,143.54192806419434,139.59916619697736,147.5842957005397,143.63235500000002,0.09042693580568084,0.06%
1229,2019-11-27,143.66607493679444,139.7970304351274,147.45736670994876,144.249146,0.5830710632055514,0.40%
1230,2019-11-29,143.9452272302016,139.85799077206474,147.74452190960932,143.70198100000002,-0.24324623020157787,-0.17%
1231,2019-12-02,144.25903171119825,140.13678715013114,148.0134506698254,142.488297,-1.7707347111982585,-1.24%
1232,2019-12-03,144.45011666620593,140.30844195639082,148.21106882668053,141.55316200000001,-2.8969546662059145,-2.05%
1233,2019-12-04,144.5460253756501,141.06453793971096,148.57586042985778,142.418671,-2.1273543756501,-1.49%
1234,2019-12-05,144.66123239439867,140.81411072345196,148.59217974234684,142.627579,-2.0336533943986694,-1.43%
1235,2019-12-06,144.748274518807,140.87449869142208,148.69130475584265,143.900955,-0.8473195188069838,-0.59%
1236,2019-12-09,144.89903256237326,140.78900225686425,148.70366491377743,143.43338,-1.4656525623732648,-1.02%
1237,2019-12-10,145.02529602956724,141.29246617163972,149.0849761608617,143.333908,-1.6913880295672357,-1.18%
1238,2019-12-11,145.05261271137354,141.37671649249725,148.88401261835045,143.692047,-1.360565711373539,-0.95%
1239,2019-12-12,145.09657483406025,141.16776180415062,149.16530166788326,144.895767,-0.20080783406024239,-0.14%
1240,2019-12-13,145.11096513712383,141.0697871383337,149.35410839972545,144.915665,-0.1953001371238372,-0.13%
1241,2019-12-16,145.04910791240133,141.06538524913867,149.08397234538737,145.980133,0.9310250875986696,0.64%
1242,2019-12-17,145.11108543042602,141.19617575343628,149.1519060110216,145.97018400000002,0.8590985695740017,0.59%
1243,2019-12-18,145.0797941766717,141.21233396181893,149.15396087025667,146.019928,0.9401338233282956,0.64%
1244,2019-12-19,145.07217035358602,140.97457387467617,149.33922690250222,146.686447,1.6142766464139697,1.10%
1245,2019-12-20,145.04323248249923,141.18323448772966,149.18213893170116,147.352982,2.3097495175007623,1.57%
1246,2019-12-23,144.91098855997222,140.8518418180604,148.6746108856455,147.541992,2.6310034400277686,1.78%
1247,2019-12-24,144.97175490504233,141.12473763282685,148.4241174185323,147.58999599999999,2.6182410949576536,1.77%
1248,2019-12-26,144.9657019835815,141.19830166036814,148.8260250183928,148.309998,3.3442960164184967,2.25%
1249,2019-12-27,144.970604163996,140.79197617745447,148.5540333377566,148.259995,3.289390836004003,2.22%
1250,2019-12-30,145.00281309410664,141.22048318388858,149.03798084009614,147.440002,2.4371889058933505,1.65%
1251,2019-12-31,145.13612819870036,141.1011744854085,149.31985427102944,147.83999599999999,2.703867801299623,1.83%
1252,2020-01-01,145.19465611447117,141.01968072617186,148.87192851749265,,,nan%
1253,2020-01-02,145.29380489173747,141.3982129991522,149.27393784840046,149.21000700000002,3.916202108262553,2.62%
1254,2020-01-03,145.38668630818756,141.4678896522693,149.21658587294644,148.119995,2.733308691812425,1.85%
1255,2020-01-04,144.8840443313553,141.06973431149433,148.71341257037759,,,nan%
1256,2020-01-05,145.00705396229475,140.63676739270923,148.77914331603642,,,nan%
1257,2020-01-06,145.68632101365745,141.71945493002443,149.5850598400951,148.729996,3.043674986342552,2.05%
1258,2020-01-07,145.9040097899493,141.6620749165917,149.84555758714941,148.360001,2.455991210050712,1.66%
1259,2020-01-08,146.0416857804188,142.23008844523332,150.03290588484754,149.100006,3.058320219581219,2.05%
1260,2020-01-09,146.21321351529278,142.06831034093668,149.96229153939476,150.149994,3.9367804847072136,2.62%
1261,2020-01-10,146.3703227788811,142.29002224621914,150.3408431407222,,,nan%
1262,2020-01-11,145.92257101192362,141.73716957927545,149.54931295359847,,,nan%
1263,2020-01-12,146.09017148043398,142.09109024992932,149.88992540581373,,,nan%
1264,2020-01-13,146.80301699252314,142.7439953933186,150.6245182747338,,,nan%
1265,2020-01-14,147.04282549415532,142.96876046419723,150.9470524855045,,,nan%
1266,2020-01-15,147.19099416931962,143.30106150919207,151.2184886343644,,,nan%
1267,2020-01-16,147.36150187564937,143.30893611771015,151.2711121220816,,,nan%
1268,2020-01-17,147.50647296343743,143.54289144322638,151.47897538038106,,,nan%
1269,2020-01-18,147.03613034320858,143.1197798079446,151.02894864503224,,,nan%
1270,2020-01-19,147.17160758982445,142.9791361693983,151.10363374640437,,,nan%
1271,2020-01-20,147.8439502481405,144.20288616861728,151.91082518701043,,,nan%
1272,2020-01-21,148.03623321767114,143.9457910027481,151.95735755423846,,,nan%
1273,2020-01-22,148.13138153727178,144.14655318105704,151.87258263840485,,,nan%
1274,2020-01-23,148.24503522733318,144.33236571417402,152.28515370203309,,,nan%
1275,2020-01-24,148.3310721734459,144.35850279143034,152.24863265130952,,,nan%
1276,2020-01-25,147.80151793789125,143.96998455290682,151.6919002414701,,,nan%
1277,2020-01-26,147.87931336679506,143.93735378794912,151.77791374302956,,,nan%
1278,2020-01-27,148.49727126844147,144.68230898255223,152.73385980343295,,,nan%
1279,2020-01-28,148.64015015251638,144.25664259503966,152.8159138165421,,,nan%
1280,2020-01-29,148.69243343670254,144.5737919523477,152.82359634237923,,,nan%
1281,2020-01-30,148.77115580859257,144.2772246532893,153.21012925971178,,,nan%
