date,open,high,low,close,volume,ticker
2015-01-15,92.58,92.69,91.37,91.44,132171,VV
2015-01-16,91.26,92.69,91.24,92.58,127697,VV
2015-01-20,92.97,93.1,91.97,92.8,169534,VV
2015-01-21,92.54,93.48,92.3,93.31,346565,VV
2015-01-22,93.86,94.76,93.0,94.69,179741,VV
2015-01-23,94.54,94.69,94.15,94.17,288330,VV
2015-01-26,94.15,94.51,93.75,94.49,202208,VV
2015-01-27,93.37,93.89,92.82,93.3,172037,VV
2015-01-28,93.95,93.99,91.98,92.05,199548,VV
2015-01-29,92.25,93.02,91.42,92.86,155368,VV
2015-01-30,92.35,92.95,91.6,91.6,186781,VV
2015-02-02,92.02,92.83,91.0,92.8,161445,VV
2015-02-03,93.34,94.19,93.15,94.16,181330,VV
2015-02-04,93.75,94.41,93.61,93.79,252677,VV
2015-02-05,94.13,94.85,94.13,94.78,155381,VV
2015-02-06,95.01,95.3,94.29,94.56,114792,VV
2015-02-09,94.27,94.57,93.94,94.14,136409,VV
2015-02-10,94.66,95.23,94.25,95.15,92846,VV
2015-02-11,95.05,95.39,94.71,95.15,102172,VV
2015-02-12,95.68,96.11,95.54,96.07,139428,VV
2015-02-13,96.16,96.51,96.03,96.51,152939,VV
2015-02-17,96.42,96.74,96.21,96.63,152335,VV
2015-02-18,96.55,96.71,96.34,96.69,123981,VV
2015-02-19,96.41,96.79,96.23,96.63,204488,VV
2015-02-20,96.45,97.23,96.11,97.21,172944,VV
2015-02-23,97.11,97.17,96.88,97.15,111214,VV
2015-02-24,97.24,97.55,97.02,97.44,121638,VV
2015-02-25,97.36,97.66,97.21,97.38,377715,VV
2015-02-26,97.32,97.4,96.95,97.24,263400,VV
2015-02-27,97.24,97.32,96.88,96.92,312297,VV
2015-03-02,96.99,97.55,96.93,97.51,174152,VV
2015-03-03,97.31,97.48,96.71,97.15,104707,VV
2015-03-04,96.88,96.9,96.23,96.71,115533,VV
2015-03-05,96.94,97.0,96.6,96.89,95088,VV
2015-03-06,96.54,96.61,95.33,95.49,164331,VV
2015-03-09,95.5,96.05,95.5,95.91,195673,VV
2015-03-10,95.14,95.22,94.31,94.34,172875,VV
2015-03-11,94.6,94.6,94.12,94.17,128476,VV
2015-03-12,94.41,95.38,94.41,95.36,95779,VV
2015-03-13,95.21,95.26,94.25,94.81,134548,VV
2015-03-16,95.15,96.06,95.15,96.01,156910,VV
2015-03-17,95.68,95.96,95.34,95.75,144339,VV
2015-03-18,95.53,97.29,95.2,96.95,292560,VV
2015-03-19,96.59,96.83,96.31,96.52,189010,VV
2015-03-20,97.02,97.62,97.02,97.4,200854,VV
2015-03-23,97.3,97.63,97.19,97.19,211547,VV
2015-03-24,97.16,97.3,96.58,96.58,120511,VV
