,ds,yhat,yhat_lower,yhat_upper,Adj Close,difference,difference_pct
1208,2019-11-01,106.52282788447752,97.20934874594035,115.63295301503966,109.79718000000001,3.2743521155224897,2.98%
1209,2019-11-04,106.88159034973867,98.7461902409236,115.74815581919525,109.44735,2.5657596502613274,2.34%
1210,2019-11-05,107.07587789497609,97.97522960172043,115.9165305692645,109.467339,2.3914611050239074,2.18%
1211,2019-11-06,107.17859219462491,98.6702935192099,115.50444985960314,108.257919,1.0793268053750893,1.00%
1212,2019-11-07,107.25058220778224,97.57130788233253,116.37318258982856,108.29789699999999,1.0473147922177475,0.97%
1213,2019-11-08,107.52908534563767,98.08562095071453,116.25619308709584,110.30693799999999,2.77785265436232,2.52%
1214,2019-11-11,108.1115424330636,98.9037299623015,117.76367789804927,109.98709099999999,1.8755485669363878,1.71%
1215,2019-11-12,108.36550696770105,100.46889209002171,116.56684067949935,110.32692,1.9614130322989496,1.78%
1216,2019-11-13,108.51840821349926,99.02718343735401,117.93559888679081,110.52683300000001,2.008424786500754,1.82%
1217,2019-11-14,108.63004540395836,99.96894400260896,117.67524868191629,109.79718000000001,1.1671345960416488,1.06%
1218,2019-11-15,108.93677006247063,100.3535023281197,118.57424479024837,111.44638799999998,2.509617937529356,2.25%
1219,2019-11-18,109.52946736650634,101.24202425924246,118.5942280826364,111.186508,1.657040633493665,1.49%
1220,2019-11-19,109.76120323586785,100.96838655956965,118.63122376631296,113.39544699999999,3.634243764132137,3.20%
1221,2019-11-20,109.87923439768784,101.04647145765833,118.64951820420136,113.90520500000001,4.025970602312171,3.53%
1222,2019-11-21,109.94382901817367,100.88662078222846,118.69205594684497,114.24504099999999,4.301211981826313,3.76%
1223,2019-11-22,110.19203844704843,101.01918567298634,118.8348551576048,115.35450700000001,5.16246855295158,4.48%
1224,2019-11-25,110.55045578497032,101.16568032572724,119.53479740297902,118.19313799999999,7.642682215029666,6.47%
1225,2019-11-26,110.6887529450645,101.71897174575625,119.4831121685375,118.42303500000001,7.73428205493552,6.53%
1226,2019-11-27,110.70811720921097,101.36592883412662,119.56228950778078,119.332596,8.624478790789027,7.23%
1227,2019-11-29,110.81430293124602,101.28855433223835,120.06585078975651,119.592468,8.778165068753978,7.34%
1228,2019-12-02,110.8636473774744,101.12240337960813,119.30579031494203,118.39304399999999,7.529396622525596,6.36%
1229,2019-12-03,110.90518027413503,101.7359478000968,119.8071585291468,119.092712,8.187531725864972,6.87%
1230,2019-12-04,110.8331103079029,101.7183898961769,120.31246441946506,120.34211,9.508999692097106,7.90%
1231,2019-12-05,110.71039013361325,102.1049204657047,119.80455246173644,118.802849,8.09245886638675,6.81%
1232,2019-12-06,110.77660672200643,101.85340171649082,119.40860819344903,119.972282,9.195675277993573,7.66%
1233,2019-12-09,110.64306352581467,101.14354620886003,119.54609823965785,119.352585,8.709521474185337,7.30%
1234,2019-12-10,110.64137085035367,101.23288690423699,119.42405464853464,120.042252,9.400881149646338,7.83%
1235,2019-12-11,110.53495092572022,100.99721274934569,119.65695361163189,119.422554,8.887603074279781,7.44%
1236,2019-12-12,110.38647818373163,101.96083921612946,118.84511485247943,120.23216200000002,9.84568381626839,8.19%
1237,2019-12-13,110.43509487318518,101.70603436627587,119.23125744487457,120.571991,10.136896126814818,8.41%
1238,2019-12-16,110.29117826434944,101.25666519743692,119.4433206753346,121.610001,11.318822735650556,9.31%
1239,2019-12-17,110.29750018715453,102.0237164228823,119.12309168257572,120.989998,10.692497812845474,8.84%
