date,open,high,low,close,volume,ticker
2015-01-15,116.28,116.4,115.53,115.56,2711913,JNK
2015-01-16,115.59,116.1,115.56,115.89,2944572,JNK
2015-01-20,115.95,116.16,115.62,115.89,2261140,JNK
2015-01-21,115.95,116.37,115.65,116.34,1862044,JNK
2015-01-22,116.55,116.58,116.19,116.49,2225275,JNK
2015-01-23,116.58,116.76,116.34,116.52,2380185,JNK
2015-01-26,116.7,117.21,116.46,117.21,3590462,JNK
2015-01-27,116.58,117.15,116.49,117.06,3243768,JNK
2015-01-28,117.12,117.15,116.46,116.61,2593072,JNK
2015-01-29,116.64,117.2,116.61,117.06,2079350,JNK
2015-01-30,116.91,117.0,116.7,116.82,1772579,JNK
2015-02-02,116.37,116.7,116.16,116.52,1136763,JNK
2015-02-03,116.58,117.27,116.55,117.09,2602105,JNK
2015-02-04,117.03,117.09,116.73,116.76,1709434,JNK
2015-02-05,116.88,117.51,116.88,117.45,3549269,JNK
2015-02-06,117.63,117.75,117.51,117.69,2809074,JNK
2015-02-09,117.72,117.87,117.54,117.57,1462307,JNK
2015-02-10,117.78,117.96,117.66,117.9,2438457,JNK
2015-02-11,117.84,117.96,117.66,117.93,1324930,JNK
2015-02-12,117.96,117.99,117.81,117.99,1865855,JNK
2015-02-13,118.08,118.29,117.9,118.29,1647391,JNK
2015-02-17,118.35,118.44,118.16,118.23,3767980,JNK
2015-02-18,118.2,118.59,118.14,118.53,2074882,JNK
2015-02-19,118.44,118.53,118.29,118.41,943369,JNK
2015-02-20,118.47,118.65,118.23,118.65,1333503,JNK
2015-02-23,118.53,118.8,118.44,118.77,552019,JNK
2015-02-24,118.74,119.04,118.7,118.98,1110499,JNK
2015-02-25,118.89,119.13,118.88,119.04,5203795,JNK
2015-02-26,119.13,119.37,119.09,119.19,1616432,JNK
2015-02-27,119.19,119.37,119.16,119.34,1285893,JNK
2015-03-02,118.95,118.95,118.62,118.74,1434677,JNK
2015-03-03,118.71,118.8,118.38,118.38,3886063,JNK
2015-03-04,118.35,118.35,118.14,118.2,2118170,JNK
2015-03-05,118.41,118.41,118.17,118.32,2190295,JNK
2015-03-06,118.14,118.17,117.63,117.66,4270342,JNK
2015-03-09,117.81,117.9,117.57,117.57,3159170,JNK
2015-03-10,117.3,117.51,117.0,117.3,4468777,JNK
2015-03-11,117.51,117.69,117.24,117.48,2736124,JNK
2015-03-12,117.66,117.78,117.56,117.75,1626192,JNK
2015-03-13,117.48,117.57,117.03,117.21,2049066,JNK
2015-03-16,117.24,117.3,116.97,117.0,2201701,JNK
2015-03-17,116.88,116.88,116.32,116.43,3798969,JNK
2015-03-18,116.4,117.45,116.19,117.45,3825718,JNK
2015-03-19,117.33,117.51,116.49,116.55,3255068,JNK
2015-03-20,116.94,117.42,116.85,117.39,2485171,JNK
2015-03-23,117.42,117.6,117.36,117.57,2099227,JNK
2015-03-24,117.66,117.78,117.51,117.66,2256731,JNK
2015-03-25,117.66,117.78,117.36,117.42,2357708,JNK
2015-03-26,117.39,117.6,117.21,117.45,2772452,JNK
2015-03-27,117.54,117.63,117.36,117.42,1107132,JNK
2015-03-30,117.51,117.87,117.51,117.69,1708095,JNK
2015-03-31,117.63,117.84,117.51,117.66,1915313,JNK
2015-04-01,117.27,117.42,117.0,117.39,2742652,JNK
2015-04-02,117.3,117.45,117.27,117.45,2247679,JNK
2015-04-06,117.51,117.84,117.3,117.72,2185862,JNK
2015-04-07,117.84,118.2,117.72,118.08,1639407,JNK
2015-04-08,118.2,118.23,117.91,118.14,1392541,JNK
2015-04-09,118.29,118.34,117.96,118.08,1919119,JNK
2015-04-10,118.17,118.26,118.05,118.2,924944,JNK
2015-04-13,118.2,118.41,118.14,118.26,1716173,JNK
2015-04-14,118.23,118.44,118.07,118.41,1663971,JNK
2015-04-15,118.62,118.83,118.5,118.71,1968704,JNK
2015-04-16,118.53,118.64,118.44,118.59,1381009,JNK
2015-04-17,118.41,118.44,118.23,118.23,1988965,JNK
2015-04-20,118.5,118.71,118.47,118.59,1237208,JNK
2015-04-21,118.86,118.86,118.64,118.65,1782307,JNK
2015-04-22,118.77,118.8,118.62,118.62,1052485,JNK
2015-04-23,118.59,118.76,118.5,118.59,1180564,JNK
2015-04-24,118.65,118.77,118.62,118.74,1860969,JNK
2015-04-27,118.8,118.95,118.68,118.83,2102340,JNK
2015-04-28,118.77,118.77,118.59,118.74,2284504,JNK
2015-04-29,118.38,118.61,118.29,118.47,2766152,JNK
2015-04-30,118.47,118.47,118.14,118.32,3639409,JNK
2015-05-01,117.93,118.08,117.84,118.02,1204870,JNK
2015-05-04,118.17,118.2,117.99,118.11,1728183,JNK
2015-05-05,118.11,118.14,117.75,118.02,4983264,JNK
2015-05-06,117.99,118.05,117.57,117.66,2889984,JNK
2015-05-07,117.54,117.84,117.51,117.57,2300279,JNK
2015-05-08,118.11,118.44,117.99,118.32,4619879,JNK
2015-05-11,118.35,118.35,117.75,117.81,3241523,JNK
2015-05-12,117.54,117.93,117.44,117.78,3864549,JNK
2015-05-13,117.84,118.02,117.51,117.6,4238368,JNK
2015-05-14,118.02,118.29,117.9,118.23,3417924,JNK
2015-05-15,118.32,118.38,118.02,118.35,2536053,JNK
2015-05-18,118.14,118.23,118.02,118.11,1249726,JNK
2015-05-19,117.96,118.08,117.84,117.87,2112525,JNK
