date,open,high,low,close,volume,ticker
2015-01-15,101.07,101.1,101.05,101.06,502762,MINT
2015-01-16,101.1,101.1,100.99,100.99,335155,MINT
2015-01-20,101.01,101.1,101.01,101.1,464080,MINT
2015-01-21,101.06,101.1,101.01,101.02,357428,MINT
2015-01-22,101.07,101.09,101.01,101.05,474671,MINT
2015-01-23,101.11,101.11,101.03,101.05,306259,MINT
2015-01-26,101.06,101.1,101.05,101.07,457385,MINT
2015-01-27,101.07,101.09,101.05,101.07,244195,MINT
2015-01-28,101.1,101.1,101.05,101.09,277400,MINT
2015-01-29,101.08,101.09,101.07,101.08,200993,MINT
2015-01-30,101.0,101.08,101.0,101.08,215377,MINT
2015-02-02,101.04,101.07,101.02,101.04,938160,MINT
2015-02-03,101.03,101.08,100.99,101.02,1868994,MINT
2015-02-04,101.02,101.05,101.02,101.05,172079,MINT
2015-02-05,101.06,101.06,101.01,101.04,511736,MINT
2015-02-06,101.05,101.05,100.93,100.93,156292,MINT
2015-02-09,100.93,101.13,100.93,101.04,274159,MINT
2015-02-10,101.07,101.11,101.03,101.06,260583,MINT
2015-02-11,101.07,101.1,101.03,101.03,236258,MINT
2015-02-12,101.04,101.09,101.04,101.07,296750,MINT
2015-02-13,101.08,101.1,101.06,101.06,206371,MINT
2015-02-17,101.09,101.11,101.06,101.08,2144866,MINT
2015-02-18,101.09,101.13,101.08,101.11,2028114,MINT
2015-02-19,101.11,101.2,101.11,101.14,273122,MINT
2015-02-20,101.16,101.17,101.11,101.13,158715,MINT
2015-02-23,101.11,101.14,101.1,101.12,296906,MINT
2015-02-24,101.14,101.19,101.11,101.14,219583,MINT
2015-02-25,101.12,101.18,101.11,101.11,725665,MINT
2015-02-26,101.16,101.16,101.06,101.16,249291,MINT
2015-02-27,101.14,101.14,101.06,101.08,362837,MINT
2015-03-02,101.07,101.1,100.99,101.07,4964385,MINT
2015-03-03,101.04,101.1,101.04,101.08,312299,MINT
2015-03-04,101.09,101.11,101.08,101.08,323779,MINT
2015-03-05,101.06,101.13,101.06,101.11,144862,MINT
2015-03-06,101.08,101.11,101.06,101.1,178305,MINT
2015-03-09,101.12,101.2,101.09,101.2,415329,MINT
2015-03-10,101.12,101.21,101.12,101.21,221035,MINT
2015-03-11,101.11,101.15,101.08,101.15,259510,MINT
2015-03-12,101.13,101.15,101.1,101.13,92673,MINT
2015-03-13,101.12,101.18,101.1,101.17,329044,MINT
2015-03-16,101.19,101.19,101.14,101.15,1123654,MINT
2015-03-17,101.13,101.18,101.12,101.17,2286927,MINT
2015-03-18,101.12,101.24,101.12,101.21,194920,MINT
2015-03-19,101.13,101.16,101.09,101.14,256352,MINT
2015-03-20,101.13,101.24,101.13,101.15,325109,MINT
2015-03-23,101.15,101.23,101.13,101.23,634412,MINT
2015-03-24,101.17,101.22,101.16,101.21,239029,MINT
2015-03-25,101.17,101.24,101.13,101.2,212008,MINT
2015-03-26,101.16,101.18,101.13,101.15,219565,MINT
2015-03-27,101.16,101.2,101.16,101.19,240390,MINT
2015-03-30,101.19,101.23,101.18,101.21,2308816,MINT
2015-03-31,101.18,101.21,101.13,101.15,385945,MINT
2015-04-01,101.15,101.19,101.12,101.19,240008,MINT
2015-04-02,101.12,101.18,101.12,101.18,791625,MINT
2015-04-06,101.16,101.2,101.16,101.2,229506,MINT
2015-04-07,101.18,101.21,101.15,101.15,553379,MINT
2015-04-08,101.16,101.2,101.15,101.17,222645,MINT
2015-04-09,101.19,101.21,101.14,101.14,284079,MINT
2015-04-10,101.15,101.2,101.14,101.17,225018,MINT
2015-04-13,101.15,101.24,101.15,101.24,270542,MINT
2015-04-14,101.16,101.23,101.16,101.22,198885,MINT
2015-04-15,101.22,101.25,101.18,101.25,172477,MINT
2015-04-16,101.23,101.26,101.19,101.26,296225,MINT
2015-04-17,101.22,101.24,101.17,101.21,173263,MINT
2015-04-20,101.21,101.23,101.17,101.22,406113,MINT
2015-04-21,101.21,101.22,101.18,101.18,162443,MINT
2015-04-22,101.2,101.22,101.18,101.19,196401,MINT
2015-04-23,101.21,101.24,101.21,101.24,181841,MINT
2015-04-24,101.2,101.25,101.2,101.25,181666,MINT
2015-04-27,101.22,101.25,101.21,101.23,983584,MINT
2015-04-28,101.21,101.25,101.2,101.22,122659,MINT
2015-04-29,101.19,101.23,101.17,101.2,229630,MINT
2015-04-30,101.16,101.2,101.12,101.2,411516,MINT
2015-05-01,101.13,101.18,101.09,101.1,983259,MINT
2015-05-04,101.14,101.21,101.14,101.15,328193,MINT
2015-05-05,101.17,101.2,101.12,101.17,414542,MINT
2015-05-06,101.17,101.17,101.13,101.17,366506,MINT
2015-05-07,101.17,101.21,101.14,101.19,474867,MINT
