date,open,high,low,close,volume,ticker
2015-01-15,46.54,46.58,46.15,46.25,478233,SCZ
2015-01-16,46.07,46.61,46.02,46.59,702274,SCZ
2015-01-20,46.83,46.91,46.5,46.67,484033,SCZ
2015-01-21,46.72,46.88,46.6,46.87,441467,SCZ
2015-01-22,46.75,47.09,46.62,46.93,464696,SCZ
2015-01-23,46.76,46.79,46.53,46.55,442888,SCZ
2015-01-26,46.96,47.32,46.93,47.18,378330,SCZ
2015-01-27,47.08,47.27,46.99,47.12,300120,SCZ
2015-01-28,47.26,47.44,46.68,46.7,325179,SCZ
2015-01-29,47.1,47.3,46.93,47.24,627510,SCZ
2015-01-30,46.99,47.29,46.82,46.84,564965,SCZ
2015-02-02,47.25,47.43,47.02,47.36,484941,SCZ
2015-02-03,47.61,48.04,47.52,47.99,494550,SCZ
2015-02-04,47.79,47.99,47.58,47.6,649808,SCZ
2015-02-05,48.12,48.45,48.05,48.4,294572,SCZ
2015-02-06,48.07,48.19,47.74,47.85,292223,SCZ
2015-02-09,47.55,47.74,47.51,47.56,644254,SCZ
2015-02-10,47.93,48.15,47.8,48.12,396174,SCZ
2015-02-11,47.87,47.96,47.64,47.89,342894,SCZ
2015-02-12,48.27,48.69,48.25,48.69,401202,SCZ
2015-02-13,48.83,48.97,48.74,48.96,243338,SCZ
2015-02-17,48.99,49.18,48.79,49.08,461011,SCZ
2015-02-18,49.32,49.67,49.26,49.55,435850,SCZ
2015-02-19,49.52,49.76,49.47,49.59,367203,SCZ
2015-02-20,49.47,50.15,49.41,50.08,381688,SCZ
2015-02-23,49.64,49.89,49.6,49.78,329582,SCZ
2015-02-24,49.76,50.08,49.62,50.02,510814,SCZ
2015-02-25,50.07,50.27,50.06,50.17,1281932,SCZ
2015-02-26,50.14,50.2,49.98,50.06,532323,SCZ
2015-02-27,50.13,50.27,50.03,50.1,306932,SCZ
2015-03-02,50.09,50.14,49.93,50.14,703217,SCZ
2015-03-03,49.99,50.0,49.73,49.87,438230,SCZ
2015-03-04,49.63,49.63,49.29,49.61,255841,SCZ
2015-03-05,49.85,49.94,49.73,49.84,335051,SCZ
2015-03-06,49.51,49.85,49.11,49.19,450032,SCZ
2015-03-09,49.17,49.3,49.11,49.19,246112,SCZ
2015-03-10,48.61,48.74,48.3,48.31,852821,SCZ
2015-03-11,48.42,48.49,48.16,48.42,388339,SCZ
2015-03-12,48.93,49.0,48.8,48.98,398592,SCZ
2015-03-13,48.74,48.88,48.55,48.84,354423,SCZ
2015-03-16,49.06,49.25,49.01,49.14,516039,SCZ
2015-03-17,48.84,48.9,48.59,48.9,205439,SCZ
2015-03-18,48.84,49.86,48.75,49.79,351773,SCZ
2015-03-19,49.34,49.38,49.11,49.27,519666,SCZ
2015-03-20,49.96,50.32,49.83,50.21,355924,SCZ
2015-03-23,50.47,50.57,50.29,50.5,250726,SCZ
2015-03-24,50.72,50.81,50.52,50.54,520068,SCZ
2015-03-25,50.8,50.82,50.31,50.34,247475,SCZ
2015-03-26,49.85,49.95,49.55,49.8,527823,SCZ
2015-03-27,49.77,49.88,49.64,49.76,365773,SCZ
2015-03-30,49.8,49.96,49.78,49.88,674838,SCZ
2015-03-31,49.46,49.64,49.3,49.47,469787,SCZ
2015-04-01,49.72,49.72,49.36,49.68,373733,SCZ
2015-04-02,50.1,50.25,50.02,50.19,347194,SCZ
2015-04-06,50.6,51.07,50.43,50.88,642680,SCZ
2015-04-07,50.83,50.94,50.64,50.66,654091,SCZ
2015-04-08,51.17,51.31,50.96,51.07,848424,SCZ
2015-04-09,51.19,51.19,50.9,51.12,287545,SCZ
2015-04-10,51.16,51.29,51.04,51.29,448483,SCZ
2015-04-13,51.06,51.22,50.89,50.97,324360,SCZ
2015-04-14,51.35,51.48,51.34,51.45,542834,SCZ
2015-04-15,51.51,51.65,51.33,51.61,309635,SCZ
2015-04-16,51.62,51.89,51.48,51.77,357873,SCZ
2015-04-17,51.17,51.17,50.92,51.12,342323,SCZ
2015-04-20,51.02,51.12,50.94,50.99,1081159,SCZ
2015-04-21,51.33,51.54,51.25,51.42,1267681,SCZ
2015-04-22,51.42,51.52,51.26,51.48,459686,SCZ
2015-04-23,51.2,51.7,51.12,51.6,590213,SCZ
2015-04-24,51.91,52.07,51.72,51.97,449969,SCZ
2015-04-27,52.19,52.44,52.15,52.2,444641,SCZ
2015-04-28,52.13,52.35,52.01,52.35,546185,SCZ
2015-04-29,51.98,52.16,51.82,52.02,607371,SCZ
2015-04-30,51.77,51.89,51.52,51.59,1446796,SCZ
2015-05-01,51.63,51.87,51.5,51.86,1166983,SCZ
2015-05-04,51.91,52.03,51.81,52.03,811324,SCZ
2015-05-05,51.83,51.85,51.3,51.41,1576286,SCZ
2015-05-06,51.69,51.69,51.26,51.45,730048,SCZ
2015-05-07,51.36,51.53,51.25,51.48,710113,SCZ
2015-05-08,52.52,52.76,52.35,52.71,719625,SCZ
2015-05-11,52.55,52.71,52.43,52.48,390146,SCZ
2015-05-12,52.39,52.54,52.31,52.46,414711,SCZ
2015-05-13,53.18,53.28,53.01,53.06,540060,SCZ
2015-05-14,53.56,53.66,53.45,53.64,367644,SCZ
2015-05-15,53.64,53.99,53.6,53.98,574428,SCZ
2015-05-18,53.81,53.84,53.55,53.62,703231,SCZ
2015-05-19,53.56,53.62,53.43,53.47,403364,SCZ
2015-05-20,53.47,53.69,53.31,53.55,652578,SCZ
2015-05-21,53.52,53.79,53.42,53.68,771433,SCZ
2015-05-22,53.55,53.59,53.4,53.41,456801,SCZ
2015-05-26,52.97,52.97,52.47,52.64,702644,SCZ
2015-05-27,52.73,52.91,52.62,52.88,870740,SCZ
2015-05-28,52.55,52.8,52.39,52.74,333462,SCZ
2015-05-29,52.63,52.65,52.26,52.47,668963,SCZ
2015-06-01,52.64,52.73,52.33,52.53,784211,SCZ
2015-06-02,52.81,53.23,52.73,53.02,1074539,SCZ
2015-06-03,53.16,53.34,53.03,53.09,866139,SCZ
2015-06-04,52.84,53.08,52.48,52.61,490769,SCZ
2015-06-05,51.95,52.2,51.82,52.05,360116,SCZ
2015-06-08,52.02,52.07,51.84,52.04,484789,SCZ
2015-06-09,51.89,51.92,51.56,51.8,1607709,SCZ
2015-06-10,52.31,52.86,52.31,52.77,827982,SCZ
2015-06-11,52.89,52.93,52.65,52.86,605867,SCZ
2015-06-12,52.34,52.61,52.18,52.48,686912,SCZ
2015-06-15,51.96,52.14,51.79,52.06,490614,SCZ
2015-06-16,51.92,52.2,51.86,52.19,532823,SCZ
2015-06-17,52.05,52.23,51.63,52.13,768936,SCZ
2015-06-18,52.26,52.9,52.24,52.54,299604,SCZ
2015-06-19,52.54,52.61,52.4,52.47,346874,SCZ
2015-06-22,53.12,53.32,52.98,53.04,452892,SCZ
2015-06-23,53.1,53.24,53.08,53.17,738956,SCZ
2015-06-24,52.88,52.98,52.61,52.72,1268413,SCZ
2015-06-25,52.39,52.4,52.1,52.2,659659,SCZ
2015-06-26,52.26,52.37,52.04,52.13,610664,SCZ
2015-06-29,51.27,51.41,50.73,50.75,1224526,SCZ
2015-06-30,51.25,51.63,50.88,51.02,1337335,SCZ
2015-07-01,51.53,52.01,51.25,51.41,658681,SCZ
2015-07-02,51.53,51.65,51.25,51.43,796292,SCZ
2015-07-06,50.92,50.92,50.22,50.36,637357,SCZ
2015-07-07,50.01,50.43,49.43,50.29,982854,SCZ
2015-07-08,49.42,49.42,48.81,48.87,881286,SCZ
2015-07-09,49.84,50.03,49.42,49.56,867877,SCZ
2015-07-10,50.55,50.81,50.46,50.73,1508679,SCZ
2015-07-13,51.12,51.19,50.94,51.09,609597,SCZ
2015-07-14,51.21,51.39,51.14,51.36,990871,SCZ
2015-07-15,51.31,51.38,51.08,51.25,578939,SCZ
2015-07-16,51.7,51.74,51.57,51.62,748634,SCZ
2015-07-17,51.66,51.69,51.5,51.62,849083,SCZ
2015-07-20,51.8,51.87,51.65,51.78,388287,SCZ
2015-07-21,51.72,51.8,51.65,51.77,1373890,SCZ
2015-07-22,51.48,51.66,51.41,51.58,1002643,SCZ
2015-07-23,51.69,51.7,51.36,51.45,558512,SCZ
2015-07-24,51.41,51.41,50.99,51.04,542235,SCZ
2015-07-27,50.72,50.73,50.45,50.57,807524,SCZ
2015-07-28,50.94,51.2,50.74,51.19,658891,SCZ
2015-07-29,51.17,51.43,51.13,51.26,896416,SCZ
2015-07-30,51.0,51.17,50.78,51.16,403833,SCZ
2015-07-31,51.65,51.65,51.38,51.46,968058,SCZ
2015-08-03,51.5,51.64,51.25,51.47,565403,SCZ
