date,open,high,low,close,volume,ticker
2015-01-15,84.85,84.96,84.84,84.96,577853,SHY
2015-01-16,84.93,84.93,84.86,84.88,756251,SHY
2015-01-20,84.87,84.91,84.84,84.84,695960,SHY
2015-01-21,84.83,84.89,84.82,84.84,606384,SHY
2015-01-22,84.87,84.87,84.78,84.81,588915,SHY
2015-01-23,84.83,84.86,84.81,84.85,1089863,SHY
2015-01-26,84.83,84.85,84.79,84.8,1576396,SHY
2015-01-27,84.86,84.88,84.82,84.85,414895,SHY
2015-01-28,84.83,84.92,84.82,84.91,743855,SHY
2015-01-29,84.88,84.88,84.83,84.88,516093,SHY
2015-01-30,84.94,84.98,84.87,84.98,474371,SHY
2015-02-02,84.94,84.95,84.88,84.92,1883811,SHY
2015-02-03,84.89,84.89,84.83,84.85,1015038,SHY
2015-02-04,84.82,84.88,84.79,84.86,798195,SHY
2015-02-05,84.85,84.85,84.81,84.83,428384,SHY
2015-02-06,84.7,84.7,84.61,84.63,774327,SHY
2015-02-09,84.65,84.65,84.61,84.62,1616202,SHY
2015-02-10,84.63,84.63,84.59,84.6,1194527,SHY
2015-02-11,84.63,84.63,84.6,84.61,840513,SHY
2015-02-12,84.64,84.68,84.62,84.64,1036288,SHY
2015-02-13,84.66,84.69,84.64,84.64,1118633,SHY
2015-02-17,84.62,84.66,84.57,84.6,562421,SHY
2015-02-18,84.62,84.73,84.59,84.7,998367,SHY
2015-02-19,84.65,84.72,84.64,84.65,744045,SHY
2015-02-20,84.7,84.72,84.61,84.64,415214,SHY
2015-02-23,84.67,84.69,84.64,84.68,715475,SHY
2015-02-24,84.67,84.76,84.62,84.75,482809,SHY
2015-02-25,84.71,84.75,84.71,84.75,485326,SHY
2015-02-26,84.68,84.71,84.65,84.67,530580,SHY
2015-02-27,84.71,84.72,84.67,84.7,3103085,SHY
2015-03-02,84.64,84.66,84.6,84.6,3233243,SHY
2015-03-03,84.6,84.62,84.57,84.58,1288839,SHY
2015-03-04,84.61,84.63,84.58,84.6,572912,SHY
2015-03-05,84.64,84.66,84.61,84.63,386849,SHY
2015-03-06,84.51,84.56,84.5,84.54,503250,SHY
2015-03-09,84.54,84.58,84.53,84.58,367211,SHY
2015-03-10,84.63,84.63,84.57,84.6,1039641,SHY
2015-03-11,84.6,84.62,84.57,84.6,607489,SHY
2015-03-12,84.64,84.67,84.6,84.62,1158084,SHY
2015-03-13,84.61,84.67,84.61,84.63,436512,SHY
2015-03-16,84.64,84.68,84.63,84.64,934028,SHY
2015-03-17,84.67,84.67,84.62,84.62,1255566,SHY
2015-03-18,84.62,84.83,84.58,84.82,873468,SHY
2015-03-19,84.75,84.78,84.7,84.71,350966,SHY
2015-03-20,84.78,84.79,84.75,84.77,721889,SHY
2015-03-23,84.78,84.81,84.75,84.8,683940,SHY
2015-03-24,84.8,84.83,84.77,84.83,535881,SHY
2015-03-25,84.83,84.84,84.78,84.81,931962,SHY
2015-03-26,84.78,84.78,84.73,84.77,963049,SHY
2015-03-27,84.79,84.83,84.79,84.82,595280,SHY
2015-03-30,84.83,84.84,84.8,84.81,793649,SHY
2015-03-31,84.83,84.88,84.82,84.88,1035220,SHY
2015-04-01,84.84,84.88,84.84,84.88,2228705,SHY
2015-04-02,84.88,84.88,84.83,84.87,643531,SHY
2015-04-06,84.98,84.98,84.91,84.94,1162394,SHY
2015-04-07,84.88,84.9,84.88,84.88,544501,SHY
2015-04-08,84.89,84.9,84.84,84.88,1086755,SHY
