date,open,high,low,close,volume,ticker
2015-01-12,38.26,38.28,37.93,38.04,1212849,SPLV
2015-01-13,38.27,38.51,37.81,38.01,1721411,SPLV
2015-01-14,37.74,38.02,37.63,38.01,1329422,SPLV
2015-01-15,38.06,38.14,37.82,37.93,1199577,SPLV
2015-01-16,37.92,38.32,37.86,38.31,1919911,SPLV
2015-01-20,38.48,38.51,38.06,38.3,1364575,SPLV
2015-01-21,38.28,38.46,38.07,38.41,1761268,SPLV
2015-01-22,38.64,38.91,38.34,38.9,1546528,SPLV
2015-01-23,38.83,38.83,38.61,38.62,2771748,SPLV
2015-01-26,38.62,38.73,38.41,38.7,1038065,SPLV
2015-01-27,38.43,38.7,38.34,38.53,1566875,SPLV
2015-01-28,38.68,38.79,38.05,38.07,1724862,SPLV
2015-01-29,38.15,38.42,37.86,38.37,1676089,SPLV
2015-01-30,38.15,38.24,37.66,37.67,2493450,SPLV
2015-02-02,37.8,38.11,37.37,38.11,2204704,SPLV
2015-02-03,38.26,38.48,38.13,38.48,1794601,SPLV
2015-02-04,38.44,38.6,38.3,38.37,4720569,SPLV
2015-02-05,38.55,38.78,38.47,38.77,2218478,SPLV
2015-02-06,38.81,38.81,38.11,38.23,2306116,SPLV
2015-02-09,38.24,38.25,37.92,38.02,3116374,SPLV
2015-02-10,38.19,38.42,38.03,38.38,927761,SPLV
2015-02-11,38.36,38.37,38.04,38.21,1655167,SPLV
2015-02-12,38.39,38.45,38.22,38.45,1415704,SPLV
2015-02-13,38.37,38.4,38.03,38.18,1625836,SPLV
2015-02-17,38.22,38.29,38.04,38.18,1402344,SPLV
2015-02-18,38.24,38.49,38.12,38.46,1082951,SPLV
2015-02-19,38.47,38.49,38.1,38.17,1087192,SPLV
2015-02-20,38.08,38.33,37.95,38.3,2427739,SPLV
2015-02-23,38.3,38.39,38.26,38.38,1221029,SPLV
2015-02-24,38.38,38.39,38.22,38.33,1095593,SPLV
2015-02-25,38.33,38.38,38.18,38.25,1275704,SPLV
2015-02-26,38.32,38.32,38.09,38.15,960027,SPLV
2015-02-27,38.13,38.29,38.06,38.14,1223966,SPLV
2015-03-02,38.14,38.29,38.11,38.24,1731207,SPLV
2015-03-03,38.28,38.28,37.96,38.16,3079089,SPLV
2015-03-04,38.04,38.06,37.81,37.85,2563988,SPLV
2015-03-05,37.93,38.09,37.93,38.09,1218371,SPLV
2015-03-06,37.83,37.83,37.28,37.34,1717497,SPLV
2015-03-09,37.36,37.62,37.36,37.56,1731070,SPLV
2015-03-10,37.32,37.42,37.13,37.13,1530378,SPLV
2015-03-11,37.17,37.21,37.03,37.03,1947011,SPLV
2015-03-12,37.15,37.67,37.15,37.67,1654824,SPLV
2015-03-13,37.5,37.5,37.12,37.34,3192418,SPLV
2015-03-16,37.47,37.88,37.47,37.87,1201657,SPLV
2015-03-17,37.73,37.8,37.6,37.71,740430,SPLV
2015-03-18,37.61,38.37,37.47,38.25,987554,SPLV
2015-03-19,38.11,38.22,37.98,38.02,662250,SPLV
