,ds,yhat,yhat_lower,yhat_upper,Adj Close,difference,difference_pct
1208,2019-11-01,305.09334849251,296.683602671114,313.3199728820808,304.642242,-0.45110649251000723,-0.15%
1209,2019-11-04,305.96229554882825,296.761741328218,313.6385282835276,305.86621099999996,-0.0960845488282871,-0.03%
1210,2019-11-05,306.46333893513,298.3013957634013,315.4441963991981,305.52786299999997,-0.9354759351300572,-0.31%
1211,2019-11-06,306.77642728255097,297.9796351704776,314.7755487671123,305.597534,-1.1788932825509733,-0.39%
1212,2019-11-07,307.14060626138445,298.15596145353663,315.09733381671725,306.67224100000004,-0.46836526138440604,-0.15%
1213,2019-11-08,307.3466427610679,299.0646197391616,315.72016849118154,307.428528,0.08188523893204547,0.03%
1214,2019-11-11,308.11630629116996,299.03247593377426,316.8234719645704,306.8414,-1.2749062911699411,-0.42%
1215,2019-11-12,308.5867188429024,300.7499945218153,316.7638596792406,307.48822,-1.0984988429024156,-0.36%
1216,2019-11-13,308.87261667095964,300.6352479963335,317.747193715337,307.587738,-1.2848786709596425,-0.42%
1217,2019-11-14,309.2141098675058,301.0012256663356,318.34786878677755,308.035522,-1.1785878675057688,-0.38%
1218,2019-11-15,309.402800310462,301.23389843334917,317.2825911593618,310.264587,0.8617866895380075,0.28%
1219,2019-11-18,310.1567625775844,301.2424294744116,318.4919457612237,310.493439,0.33667642241562135,0.11%
1220,2019-11-19,310.63400811412134,302.3693419972463,319.23172679590016,310.4039,-0.2301081141213217,-0.07%
1221,2019-11-20,310.93198829334955,302.16868336638,319.7071555783877,309.249542,-1.6824462933495283,-0.54%
1222,2019-11-21,311.2898994931835,302.9360344108182,319.6861592966875,308.75201400000003,-2.5378854931834667,-0.82%
1223,2019-11-22,311.49816117444635,303.15106968066823,320.06955883471005,309.438629,-2.0595321744463604,-0.67%
1224,2019-11-25,312.3146196725849,303.0181499134008,320.25660987035525,311.83685299999996,-0.47776667258494854,-0.15%
1225,2019-11-26,312.8081201305455,303.93219276677394,321.4629125773298,312.543365,-0.2647551305454954,-0.08%
1226,2019-11-27,313.11693677052784,304.6787536737454,321.6961829847057,313.936523,0.8195862294721792,0.26%
1227,2019-11-29,313.6810890289904,305.293344120076,321.44951731589,312.772247,-0.9088420289904207,-0.29%
1228,2019-12-02,314.4109087526839,306.56215903232135,322.9588648742857,310.115326,-4.295582752683913,-1.39%
1229,2019-12-03,314.84832950416984,306.3495349342503,322.8160082120186,308.035522,-6.812807504169825,-2.21%
1230,2019-12-04,315.0863275050678,307.0903548202812,323.45344243771746,309.936188,-5.150139505067784,-1.66%
1231,2019-12-05,315.36209818630573,306.7372795515075,323.78065206294326,310.493439,-4.868659186305706,-1.57%
1232,2019-12-06,315.46455836490844,307.1613419125084,323.5949957279077,313.329498,-2.1350603649084405,-0.68%
1233,2019-12-09,315.8155689661844,306.9943859538756,324.0203062286947,312.34436,-3.471208966184406,-1.11%
1234,2019-12-10,316.1058799472399,307.2138535230057,324.15088157437265,311.996063,-4.109816947239892,-1.32%
1235,2019-12-11,316.18990122323964,307.61613473363474,324.8518379301907,312.881714,-3.3081872232396563,-1.06%
1236,2019-12-12,316.30745582915074,307.3768996933665,325.70309394967893,315.578461,-0.7289948291507358,-0.23%
1237,2019-12-13,316.2503454005235,307.4945403375232,324.9753690101202,315.767517,-0.48282840052348774,-0.15%
1238,2019-12-16,316.14581947713356,307.7685916950361,324.0843171706084,317.93685899999997,1.7910395228664129,0.56%
1239,2019-12-17,316.3027365791353,308.00424061427265,325.2612437382257,318.006531,1.7037944208647104,0.54%
1240,2019-12-18,316.2678189667377,308.10599432158176,324.8481797835157,318.026398,1.758579033262265,0.55%
1241,2019-12-19,316.2837756286366,307.51916449868366,324.19994597599157,319.329987,3.0462113713634267,0.95%
1242,2019-12-20,316.145015648328,307.89108831035435,324.1016383728915,320.730011,4.584995351671978,1.43%
1243,2019-12-23,315.93564578096766,307.76725508607797,324.3565119710216,321.22000099999997,5.284355219032307,1.65%
