date,open,high,low,close,volume,ticker
2015-01-15,102.51,102.65,100.43,100.54,427644,VGT
2015-01-16,100.25,101.65,100.13,101.53,478660,VGT
2015-01-20,102.18,102.55,101.0,102.29,781817,VGT
2015-01-21,101.93,103.02,101.46,102.48,345814,VGT
2015-01-22,102.97,104.5,101.95,104.42,580212,VGT
2015-01-23,104.37,105.12,104.09,104.71,493155,VGT
2015-01-26,104.71,104.71,103.94,104.4,415912,VGT
2015-01-27,102.7,102.7,100.88,101.38,606011,VGT
2015-01-28,103.25,103.44,101.21,101.24,481836,VGT
2015-01-29,101.16,102.4,100.36,102.23,690961,VGT
2015-01-30,101.86,102.52,100.69,100.81,425552,VGT
2015-02-02,101.0,101.77,99.42,101.69,3656598,VGT
2015-02-03,102.01,102.99,101.82,102.95,462752,VGT
2015-02-04,102.96,103.8,102.85,103.11,404924,VGT
2015-02-05,103.66,104.2,103.33,104.16,335531,VGT
2015-02-06,104.49,104.78,103.43,103.74,365680,VGT
2015-02-09,103.46,104.01,103.33,103.5,316924,VGT
2015-02-10,104.3,105.19,103.83,105.06,323413,VGT
2015-02-11,105.18,105.75,105.0,105.5,278613,VGT
2015-02-12,106.34,107.22,106.29,107.17,337474,VGT
2015-02-13,107.59,108.04,107.28,108.04,310258,VGT
2015-02-17,108.06,108.18,107.75,108.09,317511,VGT
2015-02-18,108.0,108.32,107.8,108.29,255685,VGT
2015-02-19,108.11,108.81,107.98,108.72,231252,VGT
2015-02-20,108.8,109.45,108.19,109.41,253425,VGT
2015-02-23,109.37,109.41,108.81,109.41,359381,VGT
2015-02-24,109.42,109.86,108.82,109.68,305171,VGT
2015-02-25,109.48,109.54,108.83,109.12,355288,VGT
2015-02-26,109.35,109.86,109.13,109.79,342815,VGT
2015-02-27,109.78,109.86,109.12,109.21,818906,VGT
2015-03-02,109.33,110.29,109.22,110.24,546661,VGT
2015-03-03,110.05,110.05,108.94,109.39,389367,VGT
2015-03-04,109.12,109.23,108.37,109.02,1405185,VGT
2015-03-05,109.01,109.3,108.59,108.98,342330,VGT
2015-03-06,109.08,109.15,107.54,107.75,342631,VGT
2015-03-09,108.14,108.64,107.74,108.2,328008,VGT
2015-03-10,107.48,107.53,106.03,106.06,393626,VGT
2015-03-11,106.12,106.38,105.38,105.48,351936,VGT
2015-03-12,105.23,106.16,105.12,106.11,363846,VGT
2015-03-13,105.9,106.22,104.93,105.57,283192,VGT
2015-03-16,105.88,106.86,105.8,106.84,331505,VGT
2015-03-17,106.69,107.15,106.37,106.95,268193,VGT
2015-03-18,106.74,108.65,106.39,108.24,239891,VGT
2015-03-19,108.21,108.51,108.0,108.15,273196,VGT
2015-03-20,108.61,109.28,108.6,108.77,338229,VGT
2015-03-23,108.85,109.3,108.8,108.8,252583,VGT
2015-03-24,108.95,109.18,108.44,108.5,330349,VGT
2015-03-25,108.49,108.53,105.5,105.52,352015,VGT
2015-03-26,104.89,106.02,104.34,105.59,411013,VGT
2015-03-27,105.56,106.1,105.09,105.85,263861,VGT
2015-03-30,106.58,107.14,106.49,107.05,445559,VGT
2015-03-31,106.72,109.86,106.01,106.52,1034340,VGT
2015-04-01,106.1,106.17,105.04,105.67,470039,VGT
2015-04-02,105.75,106.16,105.47,105.66,537868,VGT
2015-04-06,105.08,106.84,104.72,106.65,296298,VGT
2015-04-07,106.55,107.36,106.53,106.53,410628,VGT
2015-04-08,106.1,107.22,106.1,106.91,234810,VGT
2015-04-09,106.9,107.41,106.42,107.35,233119,VGT
2015-04-10,107.22,107.82,107.07,107.82,174658,VGT
2015-04-13,107.82,108.32,107.32,107.37,267636,VGT
2015-04-14,107.72,107.72,106.4,106.98,322931,VGT
2015-04-15,107.3,108.25,107.22,107.95,319980,VGT
2015-04-16,107.67,107.98,107.47,107.73,260817,VGT
2015-04-17,107.0,107.0,105.73,106.08,280422,VGT
2015-04-20,106.6,107.97,106.6,107.81,301708,VGT
2015-04-21,108.35,108.57,107.82,107.9,215545,VGT
2015-04-22,108.19,109.08,107.68,108.94,256915,VGT
2015-04-23,108.54,109.61,108.43,109.2,238517,VGT
2015-04-24,110.17,110.2,109.39,109.82,253351,VGT
2015-04-27,110.11,110.7,109.81,110.07,600993,VGT
2015-04-28,110.3,110.71,109.19,110.19,237711,VGT
2015-04-29,109.6,110.23,108.92,109.68,226947,VGT
2015-04-30,109.1,109.33,107.51,107.89,226664,VGT
2015-05-01,108.25,109.27,108.16,109.27,291075,VGT
2015-05-04,109.49,109.92,109.3,109.35,246831,VGT
2015-05-05,109.01,109.06,107.52,107.64,239155,VGT
2015-05-06,107.86,108.28,106.27,107.03,263309,VGT
2015-05-07,106.92,108.13,106.92,107.8,222801,VGT
2015-05-08,108.87,109.41,108.83,109.32,182371,VGT
