date,open,high,low,close,volume,ticker
2015-01-15,59.3,59.37,58.7,58.72,279262,VT
2015-01-16,58.63,59.47,58.62,59.44,252949,VT
2015-01-20,59.75,59.81,59.16,59.55,771758,VT
2015-01-21,59.68,60.0,59.42,59.99,424333,VT
2015-01-22,60.18,60.73,59.77,60.68,373106,VT
2015-01-23,60.56,60.56,60.23,60.23,459085,VT
2015-01-26,60.45,60.72,60.15,60.64,346820,VT
2015-01-27,60.2,60.53,60.01,60.26,734607,VT
2015-01-28,60.67,60.67,59.45,59.5,792172,VT
2015-01-29,59.66,60.08,59.26,60.0,668253,VT
2015-01-30,59.58,59.84,59.1,59.14,244024,VT
2015-02-02,59.52,60.0,59.09,59.93,588245,VT
2015-02-03,60.27,60.84,60.14,60.8,471290,VT
2015-02-04,60.71,60.95,60.48,60.53,400963,VT
2015-02-05,60.76,61.25,60.71,61.25,528001,VT
2015-02-06,61.06,61.15,60.53,60.68,485870,VT
2015-02-09,60.53,60.73,60.38,60.52,217177,VT
2015-02-10,60.87,61.08,60.54,61.03,187010,VT
2015-02-11,60.83,61.0,60.55,60.89,187153,VT
2015-02-12,61.27,61.68,61.25,61.66,451068,VT
2015-02-13,61.81,62.05,61.73,62.05,274148,VT
2015-02-17,62.05,62.22,61.83,62.12,372515,VT
2015-02-18,62.12,62.34,62.03,62.32,171642,VT
2015-02-19,62.12,62.41,62.05,62.24,480859,VT
2015-02-20,62.19,62.79,61.97,62.74,420945,VT
2015-02-23,62.53,62.62,62.37,62.58,277634,VT
2015-02-24,62.6,62.89,62.41,62.8,320653,VT
2015-02-25,62.8,62.9,62.66,62.79,340713,VT
2015-02-26,62.81,62.9,62.55,62.69,278211,VT
2015-02-27,62.78,62.89,62.63,62.66,550479,VT
2015-03-02,62.71,62.9,62.63,62.88,307151,VT
2015-03-03,62.8,62.81,62.34,62.55,497791,VT
2015-03-04,62.3,62.3,61.9,62.19,181746,VT
2015-03-05,62.44,62.47,62.18,62.28,545288,VT
2015-03-06,62.2,62.24,61.42,61.51,396327,VT
2015-03-09,61.63,61.73,61.41,61.63,236703,VT
2015-03-10,61.02,61.07,60.5,60.51,466773,VT
2015-03-11,60.68,60.68,60.39,60.54,258269,VT
2015-03-12,60.99,61.29,60.98,61.28,311377,VT
2015-03-13,61.01,61.06,60.51,60.89,256306,VT
2015-03-16,61.13,61.65,61.13,61.63,202738,VT
2015-03-17,61.4,61.61,61.2,61.53,217400,VT
2015-03-18,61.45,62.7,61.33,62.56,215001,VT
2015-03-19,62.19,62.28,61.93,62.08,378148,VT
2015-03-20,62.59,63.07,62.41,62.94,430355,VT
2015-03-23,63.06,63.17,62.96,63.01,564748,VT
2015-03-24,63.01,63.11,62.77,62.81,274065,VT
2015-03-25,62.61,62.68,61.64,61.68,885703,VT
2015-03-26,61.53,61.64,61.06,61.41,333419,VT
2015-03-27,61.45,61.62,61.35,61.6,148885,VT
2015-03-30,61.84,62.18,61.76,62.03,359655,VT
2015-03-31,61.75,61.82,61.26,61.59,508842,VT
2015-04-01,61.79,61.79,61.23,61.63,381925,VT
2015-04-02,61.84,62.13,61.81,62.04,226816,VT
2015-04-06,62.05,62.8,62.05,62.58,276626,VT
2015-04-07,62.59,62.87,62.45,62.46,442644,VT
2015-04-08,62.73,63.01,62.57,62.82,528790,VT
2015-04-09,62.9,63.03,62.65,62.98,418602,VT
2015-04-10,63.07,63.28,62.98,63.28,480348,VT
2015-04-13,63.24,63.33,62.96,62.96,363814,VT
2015-04-14,63.04,63.28,62.95,63.23,230967,VT
2015-04-15,63.35,63.69,63.33,63.59,278208,VT
2015-04-16,63.54,63.83,63.42,63.65,183795,VT
2015-04-17,63.17,63.23,62.64,62.88,413859,VT
2015-04-20,63.01,63.32,63.0,63.21,333410,VT
2015-04-21,63.62,63.66,63.32,63.37,272450,VT
2015-04-22,63.56,63.67,63.21,63.63,248262,VT
2015-04-23,63.46,64.04,63.33,63.9,373571,VT
2015-04-24,64.1,64.14,63.72,64.07,192248,VT
2015-04-27,64.33,64.44,63.98,64.06,322328,VT
2015-04-28,64.1,64.26,63.75,64.22,200379,VT
2015-04-29,63.93,64.01,63.62,63.82,397914,VT
2015-04-30,63.66,63.67,63.0,63.16,380479,VT
2015-05-01,63.55,63.79,63.37,63.79,200782,VT
2015-05-04,63.83,63.98,63.79,63.84,384595,VT
2015-05-05,63.76,63.78,63.0,63.09,382209,VT
2015-05-06,63.44,63.47,62.67,62.95,359146,VT
2015-05-07,62.81,63.06,62.6,63.02,247245,VT
2015-05-08,63.57,64.04,63.42,63.96,259229,VT
2015-05-11,64.4,64.4,63.54,63.58,174863,VT
2015-05-12,63.36,63.64,63.15,63.52,329703,VT
2015-05-13,63.78,63.98,63.61,63.68,203975,VT
2015-05-14,64.13,64.34,64.02,64.31,397944,VT
2015-05-15,64.43,64.44,64.14,64.43,218925,VT
2015-05-18,64.3,64.47,64.2,64.4,477705,VT
2015-05-19,64.39,64.44,64.23,64.32,253486,VT
2015-05-20,64.34,64.49,64.17,64.3,430929,VT
2015-05-21,64.36,64.59,64.3,64.54,182397,VT
2015-05-22,64.41,64.46,64.29,64.29,273514,VT
2015-05-26,64.06,64.08,63.33,63.49,324406,VT
2015-05-27,63.6,64.08,63.47,64.04,241695,VT
2015-05-28,63.76,63.83,63.45,63.82,327671,VT
2015-05-29,63.76,63.79,63.22,63.37,334063,VT
2015-06-01,63.65,63.65,63.1,63.37,342550,VT
2015-06-02,63.33,63.74,63.2,63.47,513128,VT
2015-06-03,63.74,63.94,63.5,63.71,697097,VT
2015-06-04,63.43,63.61,62.97,63.09,248513,VT
2015-06-05,62.68,62.94,62.47,62.7,218472,VT
2015-06-08,62.71,62.71,62.39,62.43,188027,VT
2015-06-09,62.36,62.45,62.08,62.28,319213,VT
2015-06-10,62.85,63.39,62.79,63.29,684423,VT
2015-06-11,63.46,63.51,63.22,63.4,191482,VT
2015-06-12,62.96,63.09,62.8,62.99,212443,VT
2015-06-15,62.47,62.64,62.21,62.64,202395,VT
2015-06-16,62.53,62.85,62.4,62.81,185692,VT
2015-06-17,62.75,63.0,62.4,62.81,352053,VT
2015-06-18,63.0,63.72,63.0,63.46,928553,VT
2015-06-19,63.5,63.5,63.15,63.16,391846,VT
2015-06-22,63.79,64.13,63.79,63.87,254576,VT
2015-06-23,64.05,64.07,63.9,63.97,513749,VT
2015-06-24,63.89,63.92,63.5,63.54,259498,VT
2015-06-25,63.75,63.84,63.36,63.36,571862,VT
2015-06-26,63.0,63.14,62.78,62.96,157967,VT
2015-06-29,62.12,62.29,61.34,61.36,720067,VT
2015-06-30,61.97,62.08,61.24,61.52,1504635,VT
2015-07-01,62.33,62.33,61.63,61.85,1051345,VT
2015-07-02,62.04,62.06,61.68,61.86,280904,VT
2015-07-06,61.09,61.53,60.96,61.2,448412,VT
2015-07-07,60.9,61.25,60.06,61.21,518633,VT
2015-07-08,60.6,60.66,59.86,59.92,450700,VT
2015-07-09,60.51,61.06,60.36,60.39,681175,VT
2015-07-10,61.0,61.72,61.0,61.63,2195234,VT
2015-07-13,62.0,62.11,61.95,62.06,432568,VT
2015-07-14,62.13,62.48,62.09,62.43,610125,VT
2015-07-15,62.41,62.44,62.09,62.25,1100666,VT
2015-07-16,62.62,62.79,62.56,62.75,386243,VT
2015-07-17,62.81,62.81,62.54,62.65,224160,VT
2015-07-20,62.74,62.81,62.5,62.63,207708,VT
2015-07-21,62.6,62.68,62.35,62.45,675027,VT
2015-07-22,62.12,62.22,62.0,62.15,456725,VT
2015-07-23,62.27,62.31,61.79,61.88,319000,VT
2015-07-24,61.87,61.87,61.02,61.14,567700,VT
2015-07-27,60.97,60.98,60.53,60.64,422734,VT
2015-07-28,60.78,61.34,60.64,61.31,541310,VT
2015-07-29,61.37,61.83,61.32,61.7,351525,VT
2015-07-30,61.62,61.79,61.35,61.77,196847,VT
2015-07-31,61.95,62.07,61.74,61.83,514391,VT
2015-08-03,61.85,61.93,61.33,61.57,194210,VT
2015-08-04,61.62,61.77,61.42,61.58,194860,VT
2015-08-05,61.97,62.04,61.68,61.73,149447,VT
2015-08-06,61.7,61.76,61.09,61.34,412789,VT
2015-08-07,61.25,61.28,61.0,61.28,512169,VT
2015-08-10,61.5,62.11,61.5,62.05,147788,VT
2015-08-11,61.43,61.46,61.03,61.26,253492,VT
2015-08-12,60.72,61.14,60.25,61.11,247167,VT
2015-08-13,61.14,61.24,60.85,61.03,196639,VT
