date,open,high,low,close,volume,ticker
2015-01-15,40.68,40.78,39.96,39.99,9327741,XLK
2015-01-16,39.86,40.42,39.84,40.38,18821471,XLK
2015-01-20,40.62,40.81,40.21,40.72,12015828,XLK
2015-01-21,40.54,40.96,40.34,40.79,13919088,XLK
2015-01-22,40.9,41.49,40.56,41.46,8812196,XLK
2015-01-23,41.45,41.64,41.31,41.45,6478772,XLK
2015-01-26,41.4,41.51,41.15,41.28,9733510,XLK
2015-01-27,40.6,40.6,39.91,40.09,10791955,XLK
2015-01-28,40.81,40.94,40.02,40.02,13047244,XLK
2015-01-29,40.04,40.48,39.66,40.4,16817569,XLK
2015-01-30,40.29,40.49,39.82,39.9,13006347,XLK
2015-02-02,40.04,40.36,39.39,40.31,15623563,XLK
2015-02-03,40.43,40.81,40.32,40.77,9883683,XLK
2015-02-04,40.7,41.15,40.7,40.85,5889364,XLK
2015-02-05,41.02,41.25,40.89,41.23,5091765,XLK
2015-02-06,41.29,41.48,40.98,41.1,4790310,XLK
2015-02-09,40.99,41.24,40.95,41.04,7165741,XLK
2015-02-10,41.32,41.7,41.17,41.65,11245749,XLK
2015-02-11,41.71,41.88,41.59,41.81,6249959,XLK
2015-02-12,42.13,42.41,42.07,42.38,6769238,XLK
2015-02-13,42.48,42.68,42.4,42.65,4315840,XLK
2015-02-17,42.69,42.74,42.56,42.67,5340289,XLK
2015-02-18,42.67,42.75,42.55,42.71,3749777,XLK
2015-02-19,42.68,42.9,42.6,42.86,3125425,XLK
2015-02-20,42.86,43.14,42.64,43.08,6933497,XLK
2015-02-23,43.13,43.14,42.89,43.11,4047028,XLK
2015-02-24,43.08,43.3,42.86,43.24,4655463,XLK
2015-02-25,43.12,43.17,42.88,42.97,5867350,XLK
2015-02-26,43.1,43.3,42.98,43.24,7559392,XLK
2015-02-27,43.23,43.32,43.05,43.09,6055998,XLK
2015-03-02,43.24,43.46,43.1,43.43,6844453,XLK
2015-03-03,43.39,43.39,42.95,43.14,8612123,XLK
2015-03-04,43.03,43.05,42.74,42.97,5882663,XLK
2015-03-05,43.07,43.07,42.77,42.92,7704334,XLK
2015-03-06,42.9,42.96,42.32,42.39,8076686,XLK
2015-03-09,42.47,42.77,42.41,42.59,6249286,XLK
2015-03-10,42.35,42.36,41.72,41.72,8797871,XLK
2015-03-11,41.82,41.82,41.42,41.45,11520207,XLK
2015-03-12,41.33,41.75,41.29,41.72,12334908,XLK
2015-03-13,41.66,41.76,41.26,41.49,15187664,XLK
2015-03-16,41.71,42.01,41.58,41.98,8639361,XLK
2015-03-17,41.88,42.11,41.81,41.99,9533738,XLK
2015-03-18,41.94,42.71,41.77,42.56,15855386,XLK
2015-03-19,42.5,42.65,42.41,42.44,8992350,XLK
2015-03-20,42.52,42.75,42.45,42.54,19296143,XLK
2015-03-23,42.55,42.75,42.53,42.54,3753071,XLK
2015-03-24,42.57,42.69,42.4,42.4,7117370,XLK
2015-03-25,42.35,42.43,41.31,41.31,8174282,XLK
2015-03-26,41.08,41.55,40.94,41.34,9002360,XLK
2015-03-27,41.35,41.48,41.15,41.37,7909332,XLK
2015-03-30,41.68,41.9,41.6,41.87,6605417,XLK
2015-03-31,41.74,41.82,41.44,41.44,7963627,XLK
2015-04-01,41.48,41.52,41.09,41.38,10427833,XLK
2015-04-02,41.45,41.54,41.29,41.37,5469259,XLK
2015-04-06,41.08,41.85,41.04,41.77,7344724,XLK
2015-04-07,41.77,42.02,41.67,41.68,4684336,XLK
2015-04-08,41.68,41.94,41.6,41.81,7203527,XLK
2015-04-09,41.81,41.99,41.59,41.92,7290096,XLK
2015-04-10,41.96,42.12,41.83,42.08,4316277,XLK
2015-04-13,42.16,42.34,41.95,41.96,3887185,XLK
2015-04-14,41.98,42.03,41.63,41.83,5851306,XLK
2015-04-15,41.94,42.29,41.9,42.2,12583053,XLK
2015-04-16,42.03,42.18,41.93,42.05,9114345,XLK
2015-04-17,41.7,41.79,41.34,41.47,10159434,XLK
2015-04-20,41.66,42.23,41.64,42.18,4845778,XLK
2015-04-21,42.43,42.44,42.11,42.16,5001390,XLK
2015-04-22,42.23,42.63,42.09,42.59,6095141,XLK
2015-04-23,42.49,42.93,42.39,42.76,5899808,XLK
2015-04-24,43.1,43.18,42.89,43.13,6228816,XLK
2015-04-27,43.29,43.43,43.16,43.25,9250682,XLK
2015-04-28,43.29,43.55,42.95,43.39,9149837,XLK
2015-04-29,43.18,43.44,42.91,43.18,8571130,XLK
2015-04-30,42.96,43.09,42.41,42.58,8652555,XLK
2015-05-01,42.84,43.12,42.72,43.1,10548396,XLK
